X Lag Time,Record 1: JJ1_10mg_AIR_005%v_200rpm_10-00min_PM_No3_230703 1,Record 2: JJ1_10mg_AIR_005%v_200rpm_10-00min_PM_No3_230703 2,Record 3: JJ1_10mg_AIR_005%v_200rpm_10-00min_PM_No3_230703 3,X Intensity,Record 1: JJ1_10mg_AIR_005%v_200rpm_10-00min_PM_No3_230703 1,Record 2: JJ1_10mg_AIR_005%v_200rpm_10-00min_PM_No3_230703 2,Record 3: JJ1_10mg_AIR_005%v_200rpm_10-00min_PM_No3_230703 3
44.5,0.738,0.761,0.735,24.4,0,0,0
48.5,0.734,0.758,0.731,28.2,0,0,0
52.5,0.729,0.753,0.727,32.7,0,0,0
56.5,0.725,0.75,0.724,37.8,0,0,0
60.5,0.722,0.746,0.719,43.8,0,0,0
68.5,0.716,0.739,0.713,50.7,0,0,0
76.5,0.709,0.734,0.708,58.8,0,0,0
84.5,0.704,0.728,0.702,68.1,0,0,0
92.5,0.7,0.724,0.697,78.8,0,0,0
101,0.694,0.719,0.693,91.3,0,0,0
109,0.69,0.716,0.688,106,0,0,0
117,0.686,0.712,0.685,122,0,0,0
125,0.682,0.708,0.682,142,0,0,0
141,0.675,0.701,0.674,164,0,0,0
157,0.668,0.695,0.668,190,0,0,0
173,0.662,0.689,0.661,220,0,0,0
189,0.655,0.683,0.655,255,0,0,0
205,0.649,0.678,0.65,295,0,0,0
221,0.644,0.672,0.644,342,0,0,0
237,0.637,0.666,0.639,396,0,0,0
253,0.632,0.66,0.633,459,0,0,0
285,0.62,0.649,0.622,531,0,0,0
317,0.609,0.638,0.612,615,0,0,0
349,0.598,0.627,0.601,712,4.82,9.93,5.34
381,0.587,0.616,0.59,825,12.2,22,15.2
413,0.576,0.605,0.58,955,18.4,27,22.9
445,0.565,0.595,0.57,1.11E+03,20.5,22,23.5
477,0.554,0.584,0.56,1.28E+03,18.1,11.2,17.3
509,0.543,0.573,0.549,1.48E+03,12.5,2.29,8.32
573,0.523,0.552,0.529,1.72E+03,6.2,0,1.67
637,0.504,0.532,0.509,1.99E+03,1.66,0,0
701,0.485,0.512,0.49,2.30E+03,0,0,0
765,0.467,0.492,0.471,2.67E+03,0,0,0
829,0.449,0.473,0.453,3.09E+03,0,0,0
893,0.432,0.454,0.435,3.58E+03,0,0,0
957,0.415,0.436,0.418,4.15E+03,0,0,0
1.02E+03,0.399,0.418,0.401,4.80E+03,0,0,0
1.15E+03,0.369,0.385,0.37,5.56E+03,0,0,0
1.28E+03,0.341,0.353,0.341,6.44E+03,0,0,0
1.40E+03,0.315,0.326,0.314,7.46E+03,0,0,0
1.53E+03,0.291,0.301,0.29,8.63E+03,0,0,0
1.66E+03,0.27,0.279,0.268,,,,
1.79E+03,0.251,0.26,0.248,,,,
1.92E+03,0.234,0.242,0.231,,,,
2.04E+03,0.219,0.227,0.215,,,,
2.30E+03,0.191,0.2,0.188,,,,
2.56E+03,0.165,0.177,0.164,,,,
2.81E+03,0.144,0.159,0.145,,,,
3.07E+03,0.126,0.143,0.127,,,,
3.32E+03,0.111,0.13,0.114,,,,
3.58E+03,0.0981,0.119,0.103,,,,
3.84E+03,0.088,0.11,0.0936,,,,
4.09E+03,0.0796,0.101,0.0864,,,,
4.60E+03,0.065,0.0857,0.0751,,,,
5.12E+03,0.0521,0.0743,0.0663,,,,
5.63E+03,0.0419,0.065,0.0593,,,,
6.14E+03,0.034,0.0566,0.0535,,,,
6.65E+03,0.0289,0.0492,0.049,,,,
7.16E+03,0.0255,0.0424,0.0433,,,,
7.68E+03,0.0233,0.0392,0.038,,,,
8.19E+03,0.0218,0.0383,0.0317,,,,
9.21E+03,0.0192,0.0354,0.0252,,,,
1.02E+04,0.0171,0.0374,0.0239,,,,
1.13E+04,0.0116,0.037,0.0211,,,,
1.23E+04,0.00895,0.0314,0.0209,,,,
1.33E+04,0.00862,0.0265,0.0241,,,,
1.43E+04,0.0101,0.023,0.0263,,,,
1.54E+04,0.013,0.0208,0.0284,,,,
1.64E+04,0.0124,0.0171,0.0255,,,,
1.84E+04,0.00765,0.0122,0.0128,,,,
2.05E+04,0.00973,0.0101,0.00589,,,,
2.25E+04,0.0112,0.0113,0.00823,,,,
2.46E+04,0.0101,0.00851,0.0146,,,,
2.66E+04,0.00653,0.0125,0.0184,,,,
2.87E+04,0.0162,0.0112,0.0161,,,,
3.07E+04,0.0153,0.0113,0.0185,,,,
3.28E+04,0.0103,0.0139,0.0186,,,,
3.69E+04,0.00962,0.0116,0.00988,,,,
4.10E+04,0.0103,0.00704,0.0107,,,,
4.51E+04,0.0132,0.00446,0.00591,,,,
4.91E+04,0.012,0.00291,0.00634,,,,
5.32E+04,0.0112,0.00522,0.0235,,,,
5.73E+04,0.0144,0.00827,0.0158,,,,
6.14E+04,0.0135,0.00127,0.00802,,,,
6.55E+04,0.0124,0.00441,0.00952,,,,
7.37E+04,0.0136,0.00372,0.0119,,,,
8.19E+04,0.00769,0.00407,0.0135,,,,
9.01E+04,0.00422,0.00846,0.0177,,,,
9.83E+04,0.00533,0.00341,0.0137,,,,
1.06E+05,0.00483,0.00151,0.015,,,,
1.15E+05,0.00372,0.00458,0.0148,,,,
1.23E+05,0.00541,0.0143,0.009,,,,
1.31E+05,0.00552,0.00809,0.00766,,,,
1.47E+05,0.00955,0.00514,0.00351,,,,
1.64E+05,0.0039,0.00162,0.00511,,,,
1.80E+05,0.00773,0.00149,0.00508,,,,
1.97E+05,0.00852,0.00259,0.00131,,,,
2.13E+05,0.00613,0.00963,0,,,,
2.29E+05,0.00481,0.00356,0.000669,,,,
2.46E+05,0.00518,0.00193,0.00424,,,,
2.62E+05,0.00486,0.00499,0.00479,,,,
2.95E+05,0.00241,0.00606,0.00531,,,,
3.28E+05,0.00562,0.00271,0.00239,,,,
3.60E+05,0.00192,0.00646,0.00383,,,,
3.93E+05,0.00319,0.00377,0.00385,,,,
4.26E+05,0.00404,0.00301,0.00265,,,,
4.59E+05,0.00285,0.00481,0.00251,,,,
4.92E+05,0.00508,0.0108,0.00118,,,,
5.24E+05,0.00581,0.00176,0.00135,,,,
5.90E+05,0.00594,0.0036,0.00845,,,,
6.55E+05,0.00526,0.00343,0.00179,,,,
7.21E+05,0.00816,0.00746,0.0049,,,,
7.86E+05,0.00715,0.00444,0.000946,,,,
8.52E+05,0.00429,0.00406,0.000472,,,,
9.18E+05,0.0069,0.00326,1.00E-05,,,,
9.83E+05,0.00598,0.00219,0.0016,,,,
1.05E+06,0.00915,0.00282,0.00593,,,,
1.18E+06,0.0144,0.000991,0.00294,,,,
1.31E+06,0.0116,0.000445,0.000465,,,,
1.44E+06,0.00816,0.0021,0.00135,,,,
1.57E+06,0.00672,0.00265,0.00528,,,,
1.70E+06,0.00552,0.00258,0.00724,,,,
1.84E+06,0.0111,0.00247,0.00506,,,,
1.97E+06,0.00752,0.00292,0.0079,,,,
2.10E+06,0,0,0,,,,
2.36E+06,0,0,0,,,,
2.62E+06,0,0,0,,,,
2.88E+06,0,0,0,,,,
3.15E+06,0,0,0,,,,
3.41E+06,0,0,0,,,,
3.67E+06,0,0,0,,,,
3.93E+06,0,0,0,,,,
4.19E+06,0,0,0,,,,
4.72E+06,0,0,0,,,,
5.24E+06,0,0,0,,,,
5.77E+06,0,0,0,,,,
6.29E+06,0,0,0,,,,
6.82E+06,0,0,0,,,,
7.34E+06,0,0,0,,,,
7.86E+06,0,0,0,,,,
8.39E+06,0,0,0,,,,
9.44E+06,0,0,0,,,,
1.05E+07,0,0,0,,,,
1.15E+07,0,0,0,,,,
1.26E+07,0,0,0,,,,
1.36E+07,0,0,0,,,,
1.47E+07,0,0,0,,,,
1.57E+07,0,0,0,,,,
1.68E+07,0,0,0,,,,
1.89E+07,0,0,0,,,,
2.10E+07,0,0,0,,,,
2.31E+07,0,0,0,,,,
2.52E+07,0,0,0,,,,
2.73E+07,0,0,0,,,,
2.94E+07,0,0,0,,,,
3.15E+07,0,0,0,,,,
3.36E+07,0,0,0,,,,
3.77E+07,0,0,0,,,,
4.19E+07,0,0,0,,,,
4.61E+07,0,0,0,,,,
5.03E+07,0,0,0,,,,
5.45E+07,0,0,0,,,,
5.87E+07,0,0,0,,,,
