X Lag Time,Record 1: PBS_00mg_PS2_500ug_000rpm_00-00min_ST_No1_230919 1,Record 2: PBS_00mg_PS2_500ug_000rpm_00-00min_ST_No1_230919 2,Record 3: PBS_00mg_PS2_500ug_000rpm_00-00min_ST_No1_230919 3,X Intensity,Record 1: PBS_00mg_PS2_500ug_000rpm_00-00min_ST_No1_230919 1,Record 2: PBS_00mg_PS2_500ug_000rpm_00-00min_ST_No1_230919 2,Record 3: PBS_00mg_PS2_500ug_000rpm_00-00min_ST_No1_230919 3
893,0.00287,0.00355,0.00148,3.58E+03,0.324,0.709,0.562
957,0.00283,0.00316,0.00116,4.15E+03,0.258,0.673,0.666
1.02E+03,0.00263,0.00345,0.00112,4.80E+03,0.204,0.62,0.721
1.15E+03,0.00247,0.00297,0.000924,5.56E+03,0.159,0.545,0.715
1.28E+03,0.00219,0.00277,0.00115,6.44E+03,0,0,0
1.40E+03,0.00216,0.00288,0.000897,7.46E+03,0,0,0
1.53E+03,0.00229,0.00313,0.00109,8.63E+03,0,0,0
1.66E+03,0.00217,0.00304,0.000944,,,,
1.79E+03,0.00224,0.00302,0.000732,,,,
1.92E+03,0.00213,0.00232,0.000971,,,,
2.04E+03,0.00231,0.00263,0.00083,,,,
2.30E+03,0.00195,0.00253,0.000513,,,,
2.56E+03,0.002,0.00297,0.000522,,,,
2.81E+03,0.00195,0.00288,0.000693,,,,
3.07E+03,0.00198,0.00273,0.000782,,,,
3.32E+03,0.00219,0.00276,0.000855,,,,
3.58E+03,0.00196,0.00265,0.000847,,,,
3.84E+03,0.00184,0.00232,0.000766,,,,
4.09E+03,0.00211,0.00262,0.00068,,,,
4.60E+03,0.00156,0.00256,0.00078,,,,
5.12E+03,0.00175,0.00271,0.000749,,,,
5.63E+03,0.00205,0.00255,0.000916,,,,
6.14E+03,0.00188,0.00275,0.000526,,,,
6.65E+03,0.0016,0.00244,0.000747,,,,
7.16E+03,0.00163,0.00278,0.000815,,,,
7.68E+03,0.0017,0.00269,0.000652,,,,
8.19E+03,0.00198,0.00259,0.000716,,,,
9.21E+03,0.0018,0.00267,0.00077,,,,
1.02E+04,0.00182,0.0028,0.000675,,,,
1.13E+04,0.00178,0.00255,0.000913,,,,
1.23E+04,0.00154,0.00268,0.000821,,,,
1.33E+04,0.00149,0.00279,0.000688,,,,
1.43E+04,0.00171,0.0027,0.000866,,,,
1.54E+04,0.00168,0.00267,0.000729,,,,
1.64E+04,0.00179,0.00266,0.000668,,,,
1.84E+04,0.00172,0.00273,0.000712,,,,
2.05E+04,0.00164,0.00266,0.000824,,,,
2.25E+04,0.00156,0.00253,0.000724,,,,
2.46E+04,0.00151,0.00263,0.000657,,,,
2.66E+04,0.00162,0.00256,0.000602,,,,
2.87E+04,0.00145,0.00253,0.000799,,,,
3.07E+04,0.00156,0.00249,0.000694,,,,
3.28E+04,0.0017,0.00258,0.000697,,,,
3.69E+04,0.00156,0.00266,0.000684,,,,
4.10E+04,0.0016,0.00246,0.000666,,,,
4.51E+04,0.00161,0.0026,0.000598,,,,
4.91E+04,0.00161,0.00249,0.000647,,,,
5.32E+04,0.00162,0.00248,0.000708,,,,
5.73E+04,0.00162,0.00248,0.000668,,,,
6.14E+04,0.00155,0.00257,0.000652,,,,
6.55E+04,0.00158,0.00251,0.000594,,,,
7.37E+04,0.00149,0.00252,0.000618,,,,
8.19E+04,0.00152,0.00241,0.000658,,,,
9.01E+04,0.00145,0.00235,0.000512,,,,
9.83E+04,0.00146,0.00238,0.000566,,,,
1.06E+05,0.00145,0.00231,0.000526,,,,
1.15E+05,0.00139,0.00226,0.000539,,,,
1.23E+05,0.00128,0.0022,0.000579,,,,
1.31E+05,0.00126,0.00212,0.000549,,,,
1.47E+05,0.00129,0.0021,0.000526,,,,
1.64E+05,0.00114,0.002,0.0005,,,,
1.80E+05,0.00105,0.00192,0.000402,,,,
1.97E+05,0.00107,0.00186,0.000361,,,,
2.13E+05,0.000925,0.00177,0.000417,,,,
2.29E+05,0.000931,0.00166,0.00043,,,,
2.46E+05,0.000824,0.00155,0.000267,,,,
2.62E+05,0.000694,0.00149,0.000298,,,,
2.95E+05,0.000545,0.00132,0.000334,,,,
3.28E+05,0.000325,0.00122,0.00022,,,,
3.60E+05,0.000233,0.00101,0.000225,,,,
3.93E+05,0.000307,0.000903,0.000263,,,,
4.26E+05,0.000261,0.000818,0.000291,,,,
4.59E+05,0.000228,0.000665,0.00026,,,,
4.92E+05,0.000198,0.000625,0.000254,,,,
5.24E+05,0.000134,0.00074,0.000205,,,,
5.90E+05,0.00017,0.000701,0.000196,,,,
6.55E+05,0.000123,0.00077,0.00021,,,,
7.21E+05,0.000245,0.000658,0.00018,,,,
7.86E+05,0.000249,0.000617,0.000154,,,,
8.52E+05,0.000392,0.000579,0.000178,,,,
9.18E+05,0.000477,0.000532,0.000148,,,,
9.83E+05,0.000481,0.000552,0.000185,,,,
1.05E+06,0.00079,0.000442,0.000327,,,,
1.18E+06,0.000796,0.000284,0.000411,,,,
1.31E+06,0.000714,0.000125,0.000442,,,,
1.44E+06,0.00083,0.000155,0.000346,,,,
1.57E+06,0.000429,0.000157,0.000202,,,,
1.70E+06,0.000502,0.000222,0.000185,,,,
1.84E+06,0.000528,0.000177,0.000284,,,,
1.97E+06,0.000594,0.000351,0.00037,,,,
2.10E+06,0.00121,0.000438,0.000441,,,,
2.36E+06,0.000968,0.00056,0.000357,,,,
2.62E+06,0.00088,0.000753,0.000491,,,,
2.88E+06,0.00104,0.000828,0.000419,,,,
3.15E+06,0.000995,0.000823,0.000362,,,,
3.41E+06,0.001,0.000721,0.000438,,,,
3.67E+06,0.000203,0.000821,0.000278,,,,
3.93E+06,0.000588,0.00112,0.000195,,,,
4.19E+06,0,0,0,,,,
4.72E+06,0,0,0,,,,
5.24E+06,0,0,0,,,,
5.77E+06,0,0,0,,,,
6.29E+06,0,0,0,,,,
6.82E+06,0,0,0,,,,
7.34E+06,0,0,0,,,,
7.86E+06,0,0,0,,,,
8.39E+06,0,0,0,,,,
9.44E+06,0,0,0,,,,
1.05E+07,0,0,0,,,,
1.15E+07,0,0,0,,,,
1.26E+07,0,0,0,,,,
1.36E+07,0,0,0,,,,
1.47E+07,0,0,0,,,,
1.57E+07,0,0,0,,,,
1.68E+07,0,0,0,,,,
1.89E+07,0,0,0,,,,
2.10E+07,0,0,0,,,,
2.31E+07,0,0,0,,,,
2.52E+07,0,0,0,,,,
2.73E+07,0,0,0,,,,
2.94E+07,0,0,0,,,,
3.15E+07,0,0,0,,,,
3.36E+07,0,0,0,,,,
3.77E+07,0,0,0,,,,
4.19E+07,0,0,0,,,,
4.61E+07,0,0,0,,,,
5.03E+07,0,0,0,,,,
5.45E+07,0,0,0,,,,
5.87E+07,0,0,0,,,,
