X Lag Time,Record 1: EVs_3e10_300rpm_40-00min_ST_No1_230829 1,Record 2: EVs_3e10_300rpm_40-00min_ST_No1_230829 2,Record 3: EVs_3e10_300rpm_40-00min_ST_No1_230829 3,X Intensity,Record 1: EVs_3e10_300rpm_40-00min_ST_No1_230829 1,Record 2: EVs_3e10_300rpm_40-00min_ST_No1_230829 2,Record 3: EVs_3e10_300rpm_40-00min_ST_No1_230829 3
2.81E+03,0.00641,0.00851,0.00918,,,,
3.07E+03,0.00504,0.00517,0.0078,,,,
3.32E+03,0.00494,0.00505,0.00613,,,,
3.58E+03,0.00534,0.00427,0.00609,,,,
3.84E+03,0.00539,0.00344,0.00583,,,,
4.09E+03,0.00404,0.00353,0.00496,,,,
4.60E+03,0.00251,0.00466,0.00358,,,,
5.12E+03,0.00205,0.0066,0.00548,,,,
5.63E+03,0.0033,0.00836,0.00794,,,,
6.14E+03,0.00315,0.00688,0.0082,,,,
6.65E+03,0.0031,0.0079,0.00603,,,,
7.16E+03,0.00429,0.00472,0.00374,,,,
7.68E+03,0.00452,0.00438,0.00259,,,,
8.19E+03,0.00411,0.00419,0.00251,,,,
9.21E+03,0.00428,0.00518,0.00485,,,,
1.02E+04,0.00603,0.00608,0.00826,,,,
1.13E+04,0.00559,0.00338,0.00357,,,,
1.23E+04,0.0031,0.00409,0.00345,,,,
1.33E+04,0.00389,0.00593,0.00177,,,,
1.43E+04,0.00306,0.00547,0.00474,,,,
1.54E+04,0.00472,0.00489,0.00271,,,,
1.64E+04,0.00311,0.00489,0.00239,,,,
1.84E+04,0.00226,0.00373,0.00256,,,,
2.05E+04,0.00294,0.00469,0.0029,,,,
2.25E+04,0.00282,0.00368,0.00296,,,,
2.46E+04,0.00269,0.00377,0.00487,,,,
2.66E+04,0.00131,0.00341,0.00475,,,,
2.87E+04,0.00236,0.00402,0.00482,,,,
3.07E+04,0.00354,0.00418,0.00552,,,,
3.28E+04,0.00317,0.00284,0.00286,,,,
3.69E+04,0.000924,0.00551,0.00362,,,,
4.10E+04,0.0028,0.00474,0.00579,,,,
4.51E+04,0.00162,0.00212,0.00315,,,,
4.91E+04,0.000782,0.00398,0.00228,,,,
5.32E+04,0.00233,0.00307,0.0025,,,,
5.73E+04,0.000592,0.00378,0.00488,,,,
6.14E+04,0.00122,0.00411,0.004,,,,
6.55E+04,0.00137,0.00349,0.00202,,,,
7.37E+04,0.00118,0.00361,0.00251,,,,
8.19E+04,0.00345,0.00413,0.00255,,,,
9.01E+04,0.00162,0.00477,0.00319,,,,
9.83E+04,0.00273,0.00524,0.00565,,,,
1.06E+05,0.000874,0.00551,0.00292,,,,
1.15E+05,0.000636,0.00401,0.00394,,,,
1.23E+05,0.00169,0.00367,0.00211,,,,
1.31E+05,0.00174,0.00276,0.0016,,,,
1.47E+05,0.00208,0.00386,0.003,,,,
1.64E+05,0.00265,0.00346,0.00123,,,,
1.80E+05,0.0028,0.00287,0.00239,,,,
1.97E+05,0.000752,0.00459,0.00339,,,,
2.13E+05,0.00149,0.00455,0.00284,,,,
2.29E+05,0.00216,0.00266,0.0018,,,,
2.46E+05,0.00357,0.00386,0.00216,,,,
2.62E+05,0.00281,0.00462,0.00238,,,,
2.95E+05,0.00189,0.00219,0.00138,,,,
3.28E+05,0.00169,0.00298,0.00166,,,,
3.60E+05,0.00218,0.00178,0.00278,,,,
3.93E+05,0.00204,0.00243,0.00294,,,,
4.26E+05,0.00119,0.00168,0.000805,,,,
4.59E+05,0.00148,0.00255,0.000994,,,,
4.92E+05,0.00142,0.00191,0.00192,,,,
5.24E+05,0.00103,0.00155,0.00146,,,,
5.90E+05,0.00136,0.000941,0.00207,,,,
6.55E+05,0.00182,0.00159,0.00158,,,,
7.21E+05,0.00155,0.00108,0.000628,,,,
7.86E+05,0.0014,0.00167,0.000426,,,,
8.52E+05,0.00133,0.000513,0.00048,,,,
9.18E+05,0.000657,0.00106,0.000532,,,,
9.83E+05,0.000912,0.00154,0.00102,,,,
1.05E+06,0.00246,0.000817,0.000703,,,,
1.18E+06,0.00111,0.00102,0.000436,,,,
1.31E+06,0.00181,0.000327,0.000522,,,,
1.44E+06,0.00162,0.000772,0.000157,,,,
1.57E+06,0.00245,0.00117,0.00123,,,,
1.70E+06,0.00119,0.000875,0.00102,,,,
1.84E+06,0.00199,0.00169,0.000757,,,,
1.97E+06,0.0017,0.00111,0.000565,,,,
2.10E+06,0.000699,0.000975,0.000626,,,,
2.36E+06,0.00112,5.06E-05,0.000358,,,,
2.62E+06,0.00108,5.66E-06,0.000735,,,,
2.88E+06,0.00171,0.000237,0.000396,,,,
3.15E+06,0.000658,0.000758,0.000786,,,,
3.41E+06,0.000231,0.00118,6.10E-05,,,,
3.67E+06,0.000743,0.000889,0.0011,,,,
3.93E+06,0.000929,0.00122,0.000689,,,,
4.19E+06,0,0,0,,,,
4.72E+06,0,0,0,,,,
5.24E+06,0,0,0,,,,
5.77E+06,0,0,0,,,,
6.29E+06,0,0,0,,,,
6.82E+06,0,0,0,,,,
7.34E+06,0,0,0,,,,
7.86E+06,0,0,0,,,,
8.39E+06,0,0,0,,,,
9.44E+06,0,0,0,,,,
1.05E+07,0,0,0,,,,
1.15E+07,0,0,0,,,,
1.26E+07,0,0,0,,,,
1.36E+07,0,0,0,,,,
1.47E+07,0,0,0,,,,
1.57E+07,0,0,0,,,,
1.68E+07,0,0,0,,,,
1.89E+07,0,0,0,,,,
2.10E+07,0,0,0,,,,
2.31E+07,0,0,0,,,,
2.52E+07,0,0,0,,,,
2.73E+07,0,0,0,,,,
2.94E+07,0,0,0,,,,
3.15E+07,0,0,0,,,,
3.36E+07,0,0,0,,,,
3.77E+07,0,0,0,,,,
4.19E+07,0,0,0,,,,
4.61E+07,0,0,0,,,,
5.03E+07,0,0,0,,,,
5.45E+07,0,0,0,,,,
5.87E+07,0,0,0,,,,
