X Lag Time,Record 1: BVs_3e10_300rpm_20-00min_ST_No2_230906 1,Record 2: BVs_3e10_300rpm_20-00min_ST_No2_230906 2,Record 3: BVs_3e10_300rpm_20-00min_ST_No2_230906 3,X Intensity,Record 1: BVs_3e10_300rpm_20-00min_ST_No2_230906 1,Record 2: BVs_3e10_300rpm_20-00min_ST_No2_230906 2,Record 3: BVs_3e10_300rpm_20-00min_ST_No2_230906 3
1.15E+03,0.107,0.0972,0.124,5.56E+03,2.04,2.28,2.26
1.28E+03,0.0931,0.0847,0.108,6.44E+03,0,0,0
1.40E+03,0.0829,0.0753,0.0955,7.46E+03,0,0,0
1.53E+03,0.0744,0.068,0.086,8.63E+03,0,0,0
1.66E+03,0.0672,0.0619,0.0781,,,,
1.79E+03,0.061,0.0567,0.0716,,,,
1.92E+03,0.056,0.0527,0.0657,,,,
2.04E+03,0.0513,0.05,0.0612,,,,
2.30E+03,0.0433,0.0443,0.0539,,,,
2.56E+03,0.0377,0.0372,0.0483,,,,
2.81E+03,0.0317,0.0321,0.0435,,,,
3.07E+03,0.0276,0.0293,0.0385,,,,
3.32E+03,0.0255,0.0266,0.0349,,,,
3.58E+03,0.0254,0.0241,0.0326,,,,
3.84E+03,0.0245,0.0241,0.0312,,,,
4.09E+03,0.0248,0.0214,0.0305,,,,
4.60E+03,0.0213,0.0192,0.0289,,,,
5.12E+03,0.0187,0.0162,0.0272,,,,
5.63E+03,0.0168,0.0127,0.0233,,,,
6.14E+03,0.0171,0.0109,0.0208,,,,
6.65E+03,0.0141,0.0139,0.0222,,,,
7.16E+03,0.0142,0.0145,0.0229,,,,
7.68E+03,0.0147,0.0113,0.0241,,,,
8.19E+03,0.0161,0.0113,0.0244,,,,
9.21E+03,0.0144,0.0125,0.0223,,,,
1.02E+04,0.0143,0.0118,0.0184,,,,
1.13E+04,0.0164,0.0139,0.0188,,,,
1.23E+04,0.0145,0.0113,0.0156,,,,
1.33E+04,0.0105,0.0124,0.0157,,,,
1.43E+04,0.00943,0.0125,0.0149,,,,
1.54E+04,0.0109,0.00969,0.0138,,,,
1.64E+04,0.0118,0.0103,0.0133,,,,
1.84E+04,0.0127,0.0135,0.0152,,,,
2.05E+04,0.0117,0.00942,0.0181,,,,
2.25E+04,0.0088,0.00599,0.0191,,,,
2.46E+04,0.0121,0.00836,0.0164,,,,
2.66E+04,0.0118,0.00916,0.0118,,,,
2.87E+04,0.0118,0.0106,0.0147,,,,
3.07E+04,0.0123,0.0108,0.0127,,,,
3.28E+04,0.0106,0.0103,0.0158,,,,
3.69E+04,0.0101,0.0102,0.0162,,,,
4.10E+04,0.0101,0.00931,0.0135,,,,
4.51E+04,0.0126,0.0118,0.0143,,,,
4.91E+04,0.0102,0.00987,0.0121,,,,
5.32E+04,0.0113,0.00954,0.0115,,,,
5.73E+04,0.0102,0.00757,0.0124,,,,
6.14E+04,0.00859,0.00732,0.0118,,,,
6.55E+04,0.00886,0.00989,0.0126,,,,
7.37E+04,0.0096,0.0117,0.0125,,,,
8.19E+04,0.0068,0.0087,0.00901,,,,
9.01E+04,0.00803,0.00709,0.0113,,,,
9.83E+04,0.00754,0.00391,0.00864,,,,
1.06E+05,0.00891,0.00691,0.00892,,,,
1.15E+05,0.00848,0.00402,0.01,,,,
1.23E+05,0.00909,0.0062,0.0127,,,,
1.31E+05,0.00957,0.00595,0.0121,,,,
1.47E+05,0.00666,0.006,0.0109,,,,
1.64E+05,0.00737,0.00414,0.00969,,,,
1.80E+05,0.00623,0.0023,0.00921,,,,
1.97E+05,0.00612,0.00361,0.00996,,,,
2.13E+05,0.00422,0.00375,0.00776,,,,
2.29E+05,0.00495,0.00401,0.00733,,,,
2.46E+05,0.00285,0.00247,0.00984,,,,
2.62E+05,0.00319,0.00182,0.00865,,,,
2.95E+05,0.00208,0.00192,0.00604,,,,
3.28E+05,0.00231,0.00246,0.00732,,,,
3.60E+05,0.00222,0.0035,0.00545,,,,
3.93E+05,0.00121,0.00123,0.00432,,,,
4.26E+05,0.000882,0.000951,0.00566,,,,
4.59E+05,0.000297,0.00253,0.00582,,,,
4.92E+05,0.000928,0.00131,0.00504,,,,
5.24E+05,0.000577,0.00176,0.00467,,,,
5.90E+05,0.000731,0.00274,0.00384,,,,
6.55E+05,0.000499,0.00219,0.00333,,,,
7.21E+05,0.000453,0.00221,0.00388,,,,
7.86E+05,0.000606,0.00122,0.00297,,,,
8.52E+05,0.00015,0.00127,0.00287,,,,
9.18E+05,0.0006,0.00139,0.00197,,,,
9.83E+05,0.000843,0.000653,0.00242,,,,
1.05E+06,0.00203,0.00171,0.00302,,,,
1.18E+06,0.00259,0.002,0.00216,,,,
1.31E+06,0.00269,0.00144,0.00141,,,,
1.44E+06,0.00257,0.000784,0.00199,,,,
1.57E+06,0.00298,0.000942,0.00106,,,,
1.70E+06,0.00263,0.00174,0.000955,,,,
1.84E+06,0.00273,0.000731,0.00104,,,,
1.97E+06,0.00398,0.000621,0.00112,,,,
2.10E+06,0.00241,0.0014,0.0004,,,,
2.36E+06,0.00124,0.001,0,,,,
2.62E+06,0.00237,0.0022,0,,,,
2.88E+06,0.00137,0.0021,0,,,,
3.15E+06,0.00064,0.00323,0,,,,
3.41E+06,0.00126,0.00354,0.000264,,,,
3.67E+06,0.00102,0.00357,0.000482,,,,
3.93E+06,0.000151,0.00294,0.00154,,,,
4.19E+06,0,0,0,,,,
4.72E+06,0,0,0,,,,
5.24E+06,0,0,0,,,,
5.77E+06,0,0,0,,,,
6.29E+06,0,0,0,,,,
6.82E+06,0,0,0,,,,
7.34E+06,0,0,0,,,,
7.86E+06,0,0,0,,,,
8.39E+06,0,0,0,,,,
9.44E+06,0,0,0,,,,
1.05E+07,0,0,0,,,,
1.15E+07,0,0,0,,,,
1.26E+07,0,0,0,,,,
1.36E+07,0,0,0,,,,
1.47E+07,0,0,0,,,,
1.57E+07,0,0,0,,,,
1.68E+07,0,0,0,,,,
1.89E+07,0,0,0,,,,
2.10E+07,0,0,0,,,,
2.31E+07,0,0,0,,,,
2.52E+07,0,0,0,,,,
2.73E+07,0,0,0,,,,
2.94E+07,0,0,0,,,,
3.15E+07,0,0,0,,,,
3.36E+07,0,0,0,,,,
3.77E+07,0,0,0,,,,
4.19E+07,0,0,0,,,,
4.61E+07,0,0,0,,,,
5.03E+07,0,0,0,,,,
5.45E+07,0,0,0,,,,
5.87E+07,0,0,0,,,,
