X Lag Time,Record 1: EVs_3e10_PS2_500ug_300rpm_40-00min_ST_No2_230918 1,Record 2: EVs_3e10_PS2_500ug_300rpm_40-00min_ST_No2_230918 2,Record 3: EVs_3e10_PS2_500ug_300rpm_40-00min_ST_No2_230918 3,X Intensity,Record 1: EVs_3e10_PS2_500ug_300rpm_40-00min_ST_No2_230918 1,Record 2: EVs_3e10_PS2_500ug_300rpm_40-00min_ST_No2_230918 2,Record 3: EVs_3e10_PS2_500ug_300rpm_40-00min_ST_No2_230918 3
1.15E+03,0.00922,0.0073,0.00877,5.56E+03,0.949,0,0.679
1.28E+03,0.00693,0.00426,0.00545,6.44E+03,0,0,0
1.40E+03,0.00621,0.00281,0.00359,7.46E+03,0,0,0
1.53E+03,0.00577,0.00192,0.00212,8.63E+03,0,0,0
1.66E+03,0.00407,0.00167,0.00109,,,,
1.79E+03,0.00222,0.00162,0.000694,,,,
1.92E+03,0.00213,0.00201,0.000965,,,,
2.04E+03,0.00221,0.00197,0.00122,,,,
2.30E+03,0.00231,0.00151,0.00222,,,,
2.56E+03,0.0018,0.00209,0.00189,,,,
2.81E+03,0.00296,0.00221,0.00356,,,,
3.07E+03,0.00466,0.00283,0.00389,,,,
3.32E+03,0.00529,0.00206,0.0037,,,,
3.58E+03,0.00478,0.00281,0.00224,,,,
3.84E+03,0.00148,0.00344,0.00281,,,,
4.09E+03,0.00207,0.00229,0.00379,,,,
4.60E+03,0.00347,0.00164,0.00331,,,,
5.12E+03,0.00311,0.00145,0.00103,,,,
5.63E+03,0.00251,0.00249,0.00162,,,,
6.14E+03,0.00235,0.0017,0.000984,,,,
6.65E+03,0.00231,7.86E-06,0.000947,,,,
7.16E+03,0.00482,0.0011,0.00203,,,,
7.68E+03,0.00181,0.000391,0.00101,,,,
8.19E+03,0.00171,0.00119,0.00038,,,,
9.21E+03,0.00211,0.00119,5.38E-05,,,,
1.02E+04,0.00241,0.000295,0.00214,,,,
1.13E+04,0.000737,0.00139,0.00103,,,,
1.23E+04,0.00216,0.00183,0.000633,,,,
1.33E+04,0.00197,0.00307,0.000874,,,,
1.43E+04,0.00268,0.00231,0.00229,,,,
1.54E+04,0.00202,0.000666,0.00137,,,,
1.64E+04,0.0022,0.000305,0.000319,,,,
1.84E+04,0.0019,0.000604,0.000475,,,,
2.05E+04,0.00251,0.00139,0.0019,,,,
2.25E+04,0.00225,0.00264,0.0034,,,,
2.46E+04,0.00181,0.000566,0.00268,,,,
2.66E+04,0.00202,0.000722,0.00197,,,,
2.87E+04,0.00249,0.00186,0.00153,,,,
3.07E+04,0.00209,0.000745,0.0012,,,,
3.28E+04,0.00131,0.000426,0.00239,,,,
3.69E+04,0.00155,0.000609,0.00137,,,,
4.10E+04,0.00158,0.00029,0.00054,,,,
4.51E+04,0.00036,0.000351,0.000911,,,,
4.91E+04,0.000554,0.000775,0.00078,,,,
5.32E+04,0.00142,0.000975,0.000825,,,,
5.73E+04,0.000669,0.00214,0.000479,,,,
6.14E+04,0.000633,0.000816,0.00178,,,,
6.55E+04,0.000227,0.00089,0.000657,,,,
7.37E+04,0.00108,0.00115,0.000678,,,,
8.19E+04,0.00136,0.000431,0.00067,,,,
9.01E+04,0.00145,0.00143,0.000599,,,,
9.83E+04,0.000878,0.00126,0.00084,,,,
1.06E+05,0.00155,0.00109,0.000867,,,,
1.15E+05,0.00104,0.0011,0.000462,,,,
1.23E+05,0.00122,0.000119,0.000331,,,,
1.31E+05,0.00166,0.000227,0.000611,,,,
1.47E+05,0.00099,0.000945,0.000211,,,,
1.64E+05,0.00106,0.000365,0.000836,,,,
1.80E+05,0.000996,0.000509,0.000472,,,,
1.97E+05,0.00102,0.00107,0.000728,,,,
2.13E+05,0.000826,0.000445,0.00122,,,,
2.29E+05,0.000788,4.36E-05,0.000574,,,,
2.46E+05,0.000879,0.000558,0.000797,,,,
2.62E+05,0.000934,0.000762,0.00051,,,,
2.95E+05,0.00206,0.00087,0.000402,,,,
3.28E+05,0.00133,0.000877,0.000334,,,,
3.60E+05,0.00112,0.000724,0.000708,,,,
3.93E+05,0.0015,0.00132,0.000671,,,,
4.26E+05,0.00171,0.000675,0.000345,,,,
4.59E+05,0.000917,0.000645,0.00037,,,,
4.92E+05,0.00142,0.000802,0.000343,,,,
5.24E+05,0.00147,0.000342,0.00052,,,,
5.90E+05,0.00175,0.000303,0.000428,,,,
6.55E+05,0.000866,0.000515,0.000332,,,,
7.21E+05,0.000993,0.000371,0.000543,,,,
7.86E+05,0.000692,0.000665,0.000226,,,,
8.52E+05,0.00171,0.000286,0.000405,,,,
9.18E+05,0.00135,0.000126,0.000363,,,,
9.83E+05,0.00111,0.000536,0.000159,,,,
1.05E+06,0.00109,0.00081,0.000322,,,,
1.18E+06,0.000461,0.000406,0.000518,,,,
1.31E+06,0.00027,0.000395,0.000673,,,,
1.44E+06,0.000567,0.000522,1.34E-05,,,,
1.57E+06,0.000308,0.000375,0.0005,,,,
1.70E+06,0.000358,0.000222,0.000216,,,,
1.84E+06,0.000279,0.00042,0.000525,,,,
1.97E+06,0.000606,0.000812,0.000492,,,,
2.10E+06,0.00087,0.000111,0.00107,,,,
2.36E+06,0.000813,0.000292,0.000915,,,,
2.62E+06,0.000583,0.000458,0.00118,,,,
2.88E+06,0.000398,0.000656,0.000655,,,,
3.15E+06,0,0.000939,0.00137,,,,
3.41E+06,0.000571,0.000418,0.000853,,,,
3.67E+06,0.000504,0.000929,0.000487,,,,
3.93E+06,0.000337,0.000121,0.000695,,,,
4.19E+06,0,0,0,,,,
4.72E+06,0,0,0,,,,
5.24E+06,0,0,0,,,,
5.77E+06,0,0,0,,,,
6.29E+06,0,0,0,,,,
6.82E+06,0,0,0,,,,
7.34E+06,0,0,0,,,,
7.86E+06,0,0,0,,,,
8.39E+06,0,0,0,,,,
9.44E+06,0,0,0,,,,
1.05E+07,0,0,0,,,,
1.15E+07,0,0,0,,,,
1.26E+07,0,0,0,,,,
1.36E+07,0,0,0,,,,
1.47E+07,0,0,0,,,,
1.57E+07,0,0,0,,,,
1.68E+07,0,0,0,,,,
1.89E+07,0,0,0,,,,
2.10E+07,0,0,0,,,,
2.31E+07,0,0,0,,,,
2.52E+07,0,0,0,,,,
2.73E+07,0,0,0,,,,
2.94E+07,0,0,0,,,,
3.15E+07,0,0,0,,,,
3.36E+07,0,0,0,,,,
3.77E+07,0,0,0,,,,
4.19E+07,0,0,0,,,,
4.61E+07,0,0,0,,,,
5.03E+07,0,0,0,,,,
5.45E+07,0,0,0,,,,
5.87E+07,0,0,0,,,,
