X Lag Time,Record 1: PBS_00mg_PS2_050ug_300rpm_20-00min_ST_No2_230921 1,Record 2: PBS_00mg_PS2_050ug_300rpm_20-00min_ST_No2_230921 2,Record 3: PBS_00mg_PS2_050ug_300rpm_20-00min_ST_No2_230921 3,X Intensity,Record 1: PBS_00mg_PS2_050ug_300rpm_20-00min_ST_No2_230921 1,Record 2: PBS_00mg_PS2_050ug_300rpm_20-00min_ST_No2_230921 2,Record 3: PBS_00mg_PS2_050ug_300rpm_20-00min_ST_No2_230921 3
173,0.251,0.257,0.254,220,3.14,3.18,3.84
189,0.225,0.232,0.228,255,1.51,1.43,2.01
205,0.203,0.209,0.205,295,0.46,0.372,0.723
221,0.182,0.189,0.185,342,0.0167,0,0.0926
237,0.165,0.17,0.167,396,0,0,0
253,0.149,0.154,0.152,459,0,0,0
285,0.121,0.126,0.125,531,0,0,0
317,0.0993,0.105,0.103,615,0,0,0
349,0.0814,0.0865,0.0858,712,0,0,0
381,0.0672,0.0714,0.0718,825,0,0,0
413,0.0561,0.0593,0.0596,955,0,0,0
445,0.0475,0.0495,0.0493,1.11E+03,0,0,0
477,0.0394,0.041,0.0407,1.28E+03,0,0,0
509,0.033,0.0345,0.0343,1.48E+03,0,0,0
573,0.0232,0.0244,0.0238,1.72E+03,0,0,0
637,0.0161,0.0182,0.0166,1.99E+03,0,0,0
701,0.0112,0.0136,0.0116,2.30E+03,0,0,0
765,0.00809,0.00935,0.00924,2.67E+03,0,0,0
829,0.00668,0.00647,0.00717,3.09E+03,0,0,0
893,0.00652,0.00439,0.00503,3.58E+03,0,0,0
957,0.00591,0.00264,0.00422,4.15E+03,0,0,0
1.02E+03,0.0049,0.00234,0.00388,4.80E+03,0,0,0
1.15E+03,0.00401,0.00228,0.00301,5.56E+03,0,0,0
1.28E+03,0.00248,0.00216,0.00235,6.44E+03,0,0,0
1.40E+03,0.00192,0.00232,0.00295,7.46E+03,0,0,0
1.53E+03,0.00103,0.00233,0.00282,8.63E+03,0,0,0
1.66E+03,0.000345,0.00294,0.00356,,,,
1.79E+03,0.000261,0.00266,0.00405,,,,
1.92E+03,0.00107,0.00318,0.00327,,,,
2.04E+03,0.00177,0.00323,0.00185,,,,
2.30E+03,0.0023,0.00221,0.000758,,,,
2.56E+03,0.000943,0.00106,0.00096,,,,
2.81E+03,0.000688,0.00104,0.000911,,,,
3.07E+03,0.00156,0.00205,0.00136,,,,
3.32E+03,0.00146,0.00288,0.00229,,,,
3.58E+03,0.00148,0.00326,0.00309,,,,
3.84E+03,0.0015,0.00372,0.00402,,,,
4.09E+03,0.00134,0.00372,0.00337,,,,
4.60E+03,0.000784,0.00323,0.00174,,,,
5.12E+03,0.00053,0.00132,0.000712,,,,
5.63E+03,0.00199,0.00238,0.000675,,,,
6.14E+03,0.00176,0.00264,0.00174,,,,
6.65E+03,0.000523,0.00366,0.00109,,,,
7.16E+03,0.00162,0.00288,0.0014,,,,
7.68E+03,0.00148,0.00184,0.00212,,,,
8.19E+03,0.000986,0.00243,0.00257,,,,
9.21E+03,0.000167,0.00417,0.00199,,,,
1.02E+04,0.000966,0.00293,0.00112,,,,
1.13E+04,0.000529,0.00135,0.000762,,,,
1.23E+04,0.000704,0.000461,0.00124,,,,
1.33E+04,0.000155,0.000936,0.000655,,,,
1.43E+04,0.00144,0.000359,0.000526,,,,
1.54E+04,0.0015,0.000709,0.00164,,,,
1.64E+04,0.00146,0.00109,0.000445,,,,
1.84E+04,0.00133,0.00133,0.000231,,,,
2.05E+04,0.00152,0.000898,0.00178,,,,
2.25E+04,0.000959,0.000516,0.00093,,,,
2.46E+04,0.00241,0.000365,0.00176,,,,
2.66E+04,0.00127,0.00058,0.00117,,,,
2.87E+04,0.000996,0.00185,0.00151,,,,
3.07E+04,0.000553,0.00134,0.000529,,,,
3.28E+04,0.000681,0.000308,0.000456,,,,
3.69E+04,0.000568,0.000634,0.000877,,,,
4.10E+04,0.00102,0.00142,0.000717,,,,
4.51E+04,0.000328,0.000871,0.000873,,,,
4.91E+04,0.00116,0.000536,0.000441,,,,
5.32E+04,0.000891,0.000694,0.000576,,,,
5.73E+04,0.00103,0.000757,0.000768,,,,
6.14E+04,0.000455,0.000103,0.00106,,,,
6.55E+04,0.000413,0.00012,0.000538,,,,
7.37E+04,0.000356,0.00108,0.000877,,,,
8.19E+04,0.000663,0.000699,0.000731,,,,
9.01E+04,0.000865,0.000571,0.00154,,,,
9.83E+04,0.000834,0.000765,0.000845,,,,
1.06E+05,4.72E-05,0.000271,0.000896,,,,
1.15E+05,0.000951,0.000945,0.00102,,,,
1.23E+05,0.00094,0.000622,0.000183,,,,
1.31E+05,0.000433,0.000379,0.000279,,,,
1.47E+05,0.000255,0.000832,0.000788,,,,
1.64E+05,0.000316,0.000399,0.000622,,,,
1.80E+05,0.000816,0.000705,0.000972,,,,
1.97E+05,0.000588,0.000825,0.000584,,,,
2.13E+05,0.000532,0.000368,0.000794,,,,
2.29E+05,0.000348,0.000922,0.00117,,,,
2.46E+05,0.000554,0.00126,0.000645,,,,
2.62E+05,0.000176,0.000499,0.000265,,,,
2.95E+05,0.000716,0.00067,0.000444,,,,
3.28E+05,0.00027,0.000317,0.000399,,,,
3.60E+05,0.000486,0.000676,0.000305,,,,
3.93E+05,0.000468,0.000535,0.000377,,,,
4.26E+05,0.000376,0.000635,0.000235,,,,
4.59E+05,0.000869,0.000329,0.000108,,,,
4.92E+05,0.000213,0.000646,9.67E-05,,,,
5.24E+05,0.000144,0.000615,0.000554,,,,
5.90E+05,0.000208,0.000362,0.000624,,,,
6.55E+05,0.000244,0.000378,0.000312,,,,
7.21E+05,0.000189,0.000594,0.000404,,,,
7.86E+05,0.000253,0.000493,0.00064,,,,
8.52E+05,0.000482,0.000388,0.000489,,,,
9.18E+05,0.000468,0.000357,0.000696,,,,
9.83E+05,6.96E-05,0.000517,0.000127,,,,
1.05E+06,0.000667,0.000909,0.000312,,,,
1.18E+06,0.000455,0.000496,0.000353,,,,
1.31E+06,0.000379,0.000699,0.000376,,,,
1.44E+06,0.000633,0.001,0.000333,,,,
1.57E+06,0.000352,0.000456,0.000198,,,,
1.70E+06,0.001,0.00111,0.000541,,,,
1.84E+06,0.000495,0.00128,0.00032,,,,
1.97E+06,0.000474,0.000841,0.000438,,,,
2.10E+06,0.000249,0.000873,6.01E-05,,,,
2.36E+06,0.000577,0.000534,0.000324,,,,
2.62E+06,0.000652,0.000655,6.86E-05,,,,
2.88E+06,0.000453,0.000735,0.000107,,,,
3.15E+06,0.000746,0.00103,0.000215,,,,
3.41E+06,0.000568,0.00089,0.000222,,,,
3.67E+06,0.000566,0.00089,0.000286,,,,
3.93E+06,0.000614,0.000467,0.000479,,,,
4.19E+06,0,0,0,,,,
4.72E+06,0,0,0,,,,
5.24E+06,0,0,0,,,,
5.77E+06,0,0,0,,,,
6.29E+06,0,0,0,,,,
6.82E+06,0,0,0,,,,
7.34E+06,0,0,0,,,,
7.86E+06,0,0,0,,,,
8.39E+06,0,0,0,,,,
9.44E+06,0,0,0,,,,
1.05E+07,0,0,0,,,,
1.15E+07,0,0,0,,,,
1.26E+07,0,0,0,,,,
1.36E+07,0,0,0,,,,
1.47E+07,0,0,0,,,,
1.57E+07,0,0,0,,,,
1.68E+07,0,0,0,,,,
1.89E+07,0,0,0,,,,
2.10E+07,0,0,0,,,,
2.31E+07,0,0,0,,,,
2.52E+07,0,0,0,,,,
2.73E+07,0,0,0,,,,
2.94E+07,0,0,0,,,,
3.15E+07,0,0,0,,,,
3.36E+07,0,0,0,,,,
3.77E+07,0,0,0,,,,
4.19E+07,0,0,0,,,,
4.61E+07,0,0,0,,,,
5.03E+07,0,0,0,,,,
5.45E+07,0,0,0,,,,
5.87E+07,0,0,0,,,,
