X Lag Time,Record 34: F14 1,Record 35: F14 2,Record 36: F14 3,X Intensity,Record 34: F14 1,Record 35: F14 2,Record 36: F14 3
117,0.316,0.324,0.313,122,7.18,6.45,8.32
125,0.305,0.313,0.303,142,8.3,7.31,9.38
141,0.286,0.294,0.284,164,8.69,7.61,9.53
157,0.269,0.277,0.266,190,8.35,7.35,8.77
173,0.254,0.262,0.251,220,7.36,6.64,7.26
189,0.24,0.248,0.237,255,5.92,5.6,5.31
205,0.228,0.235,0.224,295,4.29,4.41,3.3
221,0.217,0.224,0.214,342,2.71,3.2,1.59
237,0.206,0.214,0.203,396,1.41,2.11,0.461
253,0.197,0.204,0.194,459,0.527,1.23,0
285,0.18,0.185,0.176,531,0.0895,0.588,0
317,0.163,0.169,0.16,615,0,0.198,0
349,0.149,0.154,0.147,712,0,0.023,0
381,0.136,0.142,0.134,825,0,0,0
413,0.125,0.13,0.124,955,0,0.0413,0
445,0.115,0.12,0.114,1.11E+03,0,0.142,0
477,0.107,0.111,0.105,1.28E+03,0,0.288,0
509,0.0994,0.104,0.0977,1.48E+03,0,0.458,0
573,0.0863,0.0903,0.0846,1.72E+03,0,0.632,0
637,0.0754,0.08,0.0746,1.99E+03,0,0.79,0
701,0.0678,0.0716,0.0665,2.30E+03,0,0.917,0
765,0.061,0.0636,0.0592,2.67E+03,0,1,0
829,0.0555,0.058,0.0536,3.09E+03,0.0281,1.04,0
893,0.0498,0.053,0.0486,3.58E+03,0.299,1.02,0
957,0.0458,0.0487,0.0443,4.15E+03,0.841,0.961,0
1.02E+03,0.0415,0.0452,0.0405,4.80E+03,1.54,0.857,0.349
1.15E+03,0.0352,0.0397,0.0345,5.56E+03,2.19,0.719,1.48
1.28E+03,0.0322,0.0353,0.0312,6.44E+03,0,0,0
1.40E+03,0.029,0.0309,0.029,7.46E+03,0,0,0
1.53E+03,0.026,0.0288,0.0269,8.63E+03,0,0,0
1.66E+03,0.0238,0.0264,0.0261,,,,
1.79E+03,0.0223,0.0238,0.0249,,,,
1.92E+03,0.0208,0.0231,0.0233,,,,
2.04E+03,0.0196,0.021,0.0221,,,,
2.30E+03,0.0186,0.0203,0.0193,,,,
2.56E+03,0.0179,0.0186,0.0185,,,,
2.81E+03,0.0175,0.0172,0.0164,,,,
3.07E+03,0.0166,0.0173,0.0158,,,,
3.32E+03,0.0153,0.0168,0.0146,,,,
3.58E+03,0.015,0.0162,0.0137,,,,
3.84E+03,0.0146,0.0161,0.0143,,,,
4.09E+03,0.0133,0.0164,0.014,,,,
4.60E+03,0.0118,0.0161,0.0134,,,,
5.12E+03,0.012,0.0152,0.012,,,,
5.63E+03,0.0132,0.013,0.0113,,,,
6.14E+03,0.0115,0.0123,0.0116,,,,
6.65E+03,0.00931,0.0129,0.0136,,,,
7.16E+03,0.0116,0.0141,0.0129,,,,
7.68E+03,0.013,0.015,0.0112,,,,
8.19E+03,0.0122,0.0143,0.0118,,,,
9.21E+03,0.0119,0.0149,0.012,,,,
1.02E+04,0.0103,0.0152,0.0101,,,,
1.13E+04,0.012,0.0163,0.0109,,,,
1.23E+04,0.011,0.0139,0.0127,,,,
1.33E+04,0.011,0.0139,0.0113,,,,
1.43E+04,0.0106,0.0151,0.0115,,,,
1.54E+04,0.00957,0.0148,0.0113,,,,
1.64E+04,0.0102,0.0157,0.0109,,,,
1.84E+04,0.0122,0.0149,0.0117,,,,
2.05E+04,0.00857,0.0138,0.0107,,,,
2.25E+04,0.0103,0.014,0.012,,,,
2.46E+04,0.0102,0.0147,0.0117,,,,
2.66E+04,0.00906,0.0174,0.00978,,,,
2.87E+04,0.0087,0.0165,0.0111,,,,
3.07E+04,0.00902,0.0143,0.00988,,,,
3.28E+04,0.00923,0.0138,0.00997,,,,
3.69E+04,0.0103,0.0136,0.00941,,,,
4.10E+04,0.00951,0.0145,0.00935,,,,
4.51E+04,0.00992,0.0144,0.00889,,,,
4.91E+04,0.00999,0.0136,0.0082,,,,
5.32E+04,0.00806,0.014,0.00799,,,,
5.73E+04,0.00844,0.0137,0.00808,,,,
6.14E+04,0.00822,0.0149,0.00762,,,,
6.55E+04,0.00796,0.0142,0.0072,,,,
7.37E+04,0.0083,0.0144,0.00681,,,,
8.19E+04,0.00921,0.0141,0.00632,,,,
9.01E+04,0.00758,0.0134,0.00644,,,,
9.83E+04,0.00736,0.0133,0.0072,,,,
1.06E+05,0.00775,0.0132,0.00544,,,,
1.15E+05,0.00785,0.0136,0.00533,,,,
1.23E+05,0.00881,0.0138,0.00499,,,,
1.31E+05,0.00869,0.0134,0.00491,,,,
1.47E+05,0.0069,0.0137,0.0041,,,,
1.64E+05,0.00698,0.014,0.00361,,,,
1.80E+05,0.0065,0.0142,0.00313,,,,
1.97E+05,0.00656,0.0141,0.00326,,,,
2.13E+05,0.00631,0.0144,0.00297,,,,
2.29E+05,0.00645,0.0153,0.00368,,,,
2.46E+05,0.00633,0.0154,0.00268,,,,
2.62E+05,0.0054,0.0156,0.00336,,,,
2.95E+05,0.00534,0.0147,0.00361,,,,
3.28E+05,0.00529,0.0157,0.00317,,,,
3.60E+05,0.00434,0.0174,0.00353,,,,
3.93E+05,0.00391,0.0169,0.004,,,,
4.26E+05,0.00317,0.0162,0.00408,,,,
4.59E+05,0.00344,0.016,0.00324,,,,
4.92E+05,0.00278,0.016,0.00272,,,,
5.24E+05,0.00255,0.0168,0.00276,,,,
5.90E+05,0.00174,0.0183,0.00285,,,,
6.55E+05,0.00114,0.017,0.00298,,,,
7.21E+05,0.00104,0.0155,0.00265,,,,
7.86E+05,0.000581,0.0143,0.00196,,,,
8.52E+05,0.00107,0.0131,0.0011,,,,
9.18E+05,0.000891,0.0116,0.00159,,,,
9.83E+05,0.000532,0.0109,0.0022,,,,
1.05E+06,0.000697,0.00684,0.00188,,,,
1.18E+06,0.000553,0.00565,0.00199,,,,
1.31E+06,0.00145,0.00355,0.00193,,,,
1.44E+06,0.00164,0.00192,0.00166,,,,
1.57E+06,0.0023,0.00123,0.00175,,,,
1.70E+06,0.00269,0.000504,0.0012,,,,
1.84E+06,0.00345,6.79E-05,0.00119,,,,
1.97E+06,0.00312,0.000447,0.00155,,,,
2.10E+06,0.00344,0.00115,0.00172,,,,
2.36E+06,0.00398,0.00155,0.000779,,,,
2.62E+06,0.00347,0.00171,0.00152,,,,
2.88E+06,0.00273,0.00304,0.00213,,,,
3.15E+06,0.00348,0.00394,0.00199,,,,
3.41E+06,0.00453,0.00296,0.00194,,,,
3.67E+06,0.00509,0.0031,0.0025,,,,
3.93E+06,0.00424,0.00396,0.00224,,,,
4.19E+06,0,0,0,,,,
4.72E+06,0,0,0,,,,
5.24E+06,0,0,0,,,,
5.77E+06,0,0,0,,,,
6.29E+06,0,0,0,,,,
6.82E+06,0,0,0,,,,
7.34E+06,0,0,0,,,,
7.86E+06,0,0,0,,,,
8.39E+06,0,0,0,,,,
9.44E+06,0,0,0,,,,
1.05E+07,0,0,0,,,,
1.15E+07,0,0,0,,,,
1.26E+07,0,0,0,,,,
1.36E+07,0,0,0,,,,
1.47E+07,0,0,0,,,,
1.57E+07,0,0,0,,,,
1.68E+07,0,0,0,,,,
1.89E+07,0,0,0,,,,
2.10E+07,0,0,0,,,,
2.31E+07,0,0,0,,,,
2.52E+07,0,0,0,,,,
2.73E+07,0,0,0,,,,
2.94E+07,0,0,0,,,,
3.15E+07,0,0,0,,,,
3.36E+07,0,0,0,,,,
3.77E+07,0,0,0,,,,
4.19E+07,0,0,0,,,,
4.61E+07,0,0,0,,,,
5.03E+07,0,0,0,,,,
5.45E+07,0,0,0,,,,
5.87E+07,0,0,0,,,,
