X Lag Time,Record 1: JJ1_01mg_PO1_500ug_200rpm_10-00min_PMMA_No3_230530 1,Record 2: JJ1_01mg_PO1_500ug_200rpm_10-00min_PMMA_No3_230530 2,Record 3: JJ1_01mg_PO1_500ug_200rpm_10-00min_PMMA_No3_230530 3,X Intensity,Record 1: JJ1_01mg_PO1_500ug_200rpm_10-00min_PMMA_No3_230530 1,Record 2: JJ1_01mg_PO1_500ug_200rpm_10-00min_PMMA_No3_230530 2,Record 3: JJ1_01mg_PO1_500ug_200rpm_10-00min_PMMA_No3_230530 3
109,0.101,0.0707,0.0825,106,0,0,0
117,0.0959,0.0668,0.0767,122,0.206,0,0
125,0.0923,0.0632,0.0732,142,0.842,0,0
141,0.0854,0.0563,0.0664,164,1.81,0.329,0.354
157,0.0806,0.0524,0.0605,190,2.88,1.03,1.1
173,0.0752,0.049,0.0579,220,3.79,1.95,2.08
189,0.0719,0.0464,0.0544,255,4.34,2.88,3.08
205,0.0679,0.0427,0.0518,295,4.42,3.6,3.87
221,0.0641,0.0406,0.0489,342,4.05,3.98,4.29
237,0.0618,0.0387,0.0473,396,3.32,3.93,4.28
253,0.0593,0.0372,0.0449,459,2.4,3.5,3.85
285,0.0544,0.0341,0.0418,531,1.47,2.78,3.1
317,0.0508,0.0318,0.0392,615,0.697,1.92,2.19
349,0.0479,0.0296,0.0369,712,0.2,1.1,1.29
381,0.0465,0.027,0.0351,825,0,0.461,0.579
413,0.0448,0.0229,0.0338,955,0,0.1,0.147
445,0.0422,0.0209,0.0313,1.11E+03,0,0,0
477,0.0378,0.02,0.0295,1.28E+03,0,0,0
509,0.0348,0.0188,0.0265,1.48E+03,0,0,0
573,0.0309,0.0172,0.0234,1.72E+03,0,0,0
637,0.0272,0.0159,0.0195,1.99E+03,0,0,0
701,0.0252,0.0151,0.0186,2.30E+03,0,0,0
765,0.0233,0.014,0.0174,2.67E+03,0,0,0
829,0.0209,0.0116,0.0152,3.09E+03,0.0651,0,0
893,0.0173,0.00812,0.0131,3.58E+03,0.246,0,0
957,0.0157,0.00713,0.0115,4.15E+03,0.524,0,0
1.02E+03,0.014,0.00606,0.0105,4.80E+03,0.829,0,0
1.15E+03,0.0138,0.00516,0.00915,5.56E+03,1.07,0,0
1.28E+03,0.0111,0.00367,0.00735,6.44E+03,0,0,0
1.40E+03,0.00978,0.00332,0.00702,7.46E+03,0,0,0
1.53E+03,0.00768,0.00271,0.00603,8.63E+03,0,0,0
1.66E+03,0.00762,0.00161,0.00494,,,,
1.79E+03,0.00913,0.00131,0.00394,,,,
1.92E+03,0.00859,0.00116,0.00333,,,,
2.04E+03,0.00762,0.00123,0.00354,,,,
2.30E+03,0.00767,0.000862,0.00297,,,,
2.56E+03,0.00591,0.00103,0.00245,,,,
2.81E+03,0.00467,0.00113,0.00177,,,,
3.07E+03,0.00401,0.0011,0.00177,,,,
3.32E+03,0.00481,0.00135,0.00361,,,,
3.58E+03,0.00355,0.00119,0.00378,,,,
3.84E+03,0.00364,0.000882,0.00336,,,,
4.09E+03,0.00378,0.00118,0.00339,,,,
4.60E+03,0.00275,0.000989,0.00328,,,,
5.12E+03,0.00217,0.00155,0.00375,,,,
5.63E+03,0.00141,0.000663,0.00282,,,,
6.14E+03,0.00226,0.000997,0.0027,,,,
6.65E+03,0.00254,0.00142,0.0026,,,,
7.16E+03,0.00219,0.000703,0.00262,,,,
7.68E+03,0.00147,0.000507,0.0031,,,,
8.19E+03,0.00221,0.000291,0.00271,,,,
9.21E+03,0.00289,0.00068,0.00278,,,,
1.02E+04,0.00331,0.00109,0.00281,,,,
1.13E+04,0.00373,0.000802,0.00306,,,,
1.23E+04,0.00215,0.000439,0.00347,,,,
1.33E+04,0.00276,0.000517,0.00284,,,,
1.43E+04,0.0018,0.00126,0.00254,,,,
1.54E+04,0.000844,0.00125,0.00247,,,,
1.64E+04,0.00157,0.000699,0.0021,,,,
1.84E+04,0.00136,0.0004,0.00268,,,,
2.05E+04,0.000702,0.000645,0.00172,,,,
2.25E+04,0.000969,0.000577,0.00262,,,,
2.46E+04,0.00106,0.000725,0.00244,,,,
2.66E+04,0.00101,0.000288,0.00246,,,,
2.87E+04,0.000764,0.00069,0.00255,,,,
3.07E+04,0.0012,0.000531,0.00299,,,,
3.28E+04,0.00145,0.000404,0.00208,,,,
3.69E+04,0.001,0.000583,0.00216,,,,
4.10E+04,0.000782,0.00079,0.00227,,,,
4.51E+04,0.000594,0.000452,0.00239,,,,
4.91E+04,0.000904,0.00034,0.00238,,,,
5.32E+04,0.00118,0.000491,0.00252,,,,
5.73E+04,0.000659,0.00103,0.00241,,,,
6.14E+04,0.000536,0.000661,0.00274,,,,
6.55E+04,0.000562,0.000823,0.00205,,,,
7.37E+04,0.000514,0.000933,0.00187,,,,
8.19E+04,0.000407,0.000623,0.00208,,,,
9.01E+04,0.00106,0.000483,0.00165,,,,
9.83E+04,0.000901,0.000636,0.00183,,,,
1.06E+05,0.000582,0.000799,0.00208,,,,
1.15E+05,0.000504,0.000425,0.0018,,,,
1.23E+05,0.000276,0.000441,0.00158,,,,
1.31E+05,0.00035,0.000633,0.00202,,,,
1.47E+05,0.000765,0.000728,0.00228,,,,
1.64E+05,0.000939,0.0005,0.00157,,,,
1.80E+05,0.00101,0.000473,0.00142,,,,
1.97E+05,0.00147,0.000526,0.00146,,,,
2.13E+05,0.000677,0.000403,0.00104,,,,
2.29E+05,0.000958,0.000617,0.00163,,,,
2.46E+05,0.000328,0.000694,0.00129,,,,
2.62E+05,0.00116,0.000549,0.00113,,,,
2.95E+05,0.00134,0.000339,0.000807,,,,
3.28E+05,0.00134,0.000561,0.000783,,,,
3.60E+05,0.000821,0.000202,0.000968,,,,
3.93E+05,0.000675,0.00055,0.00111,,,,
4.26E+05,0.0008,0.000269,0.000596,,,,
4.59E+05,0.000167,0.000272,0.000694,,,,
4.92E+05,0.000656,0.000277,0.000859,,,,
5.24E+05,0.000284,0.000457,0.000645,,,,
5.90E+05,0.00118,0.00044,0.000386,,,,
6.55E+05,0.000308,0.000553,0.000744,,,,
7.21E+05,0.000778,0.000499,0.000586,,,,
7.86E+05,0.00111,0.000498,0.000531,,,,
8.52E+05,0.000643,0.000692,0.00128,,,,
9.18E+05,0.000917,0.000744,0.000482,,,,
9.83E+05,0.000601,0.00111,0.000606,,,,
1.05E+06,0.000423,0.000191,0.000332,,,,
1.18E+06,0.000418,0.00025,0.000559,,,,
1.31E+06,0.00126,0.000319,9.82E-05,,,,
1.44E+06,0.000525,0.000518,0.000611,,,,
1.57E+06,0.00127,0.000483,0.00136,,,,
1.70E+06,0.000766,0,0.00162,,,,
1.84E+06,0.00108,7.94E-05,0.000675,,,,
1.97E+06,0.00154,0,0.000388,,,,
2.10E+06,0,0,0,,,,
2.36E+06,0,0,0,,,,
2.62E+06,0,0,0,,,,
2.88E+06,0,0,0,,,,
3.15E+06,0,0,0,,,,
3.41E+06,0,0,0,,,,
3.67E+06,0,0,0,,,,
3.93E+06,0,0,0,,,,
4.19E+06,0,0,0,,,,
4.72E+06,0,0,0,,,,
5.24E+06,0,0,0,,,,
5.77E+06,0,0,0,,,,
6.29E+06,0,0,0,,,,
6.82E+06,0,0,0,,,,
7.34E+06,0,0,0,,,,
7.86E+06,0,0,0,,,,
8.39E+06,0,0,0,,,,
9.44E+06,0,0,0,,,,
1.05E+07,0,0,0,,,,
1.15E+07,0,0,0,,,,
1.26E+07,0,0,0,,,,
1.36E+07,0,0,0,,,,
1.47E+07,0,0,0,,,,
1.57E+07,0,0,0,,,,
1.68E+07,0,0,0,,,,
1.89E+07,0,0,0,,,,
2.10E+07,0,0,0,,,,
2.31E+07,0,0,0,,,,
2.52E+07,0,0,0,,,,
2.73E+07,0,0,0,,,,
2.94E+07,0,0,0,,,,
3.15E+07,0,0,0,,,,
3.36E+07,0,0,0,,,,
3.77E+07,0,0,0,,,,
4.19E+07,0,0,0,,,,
4.61E+07,0,0,0,,,,
5.03E+07,0,0,0,,,,
5.45E+07,0,0,0,,,,
5.87E+07,0,0,0,,,,
