X Lag Time,Record 1: SST 1,Record 2: SST 2,Record 3: SST 3,X Intensity,Record 1: SST 1,Record 2: SST 2,Record 3: SST 3
125,0.609,0.598,0.592,142,7.69,8.36,9.09
141,0.581,0.571,0.564,164,19.3,18.4,19.4
157,0.553,0.544,0.537,190,26.6,24.7,25.4
173,0.527,0.519,0.511,220,25,23.8,23.7
189,0.503,0.495,0.487,255,15.9,16.4,15.6
205,0.479,0.472,0.464,295,5.43,6.95,5.86
221,0.456,0.45,0.442,342,0,0.636,0
237,0.434,0.429,0.421,396,0,0,0
253,0.414,0.41,0.401,459,0,0,0
285,0.376,0.373,0.364,531,0,0,0
317,0.341,0.339,0.331,615,0,0,0
349,0.309,0.309,0.3,712,0,0,0
381,0.281,0.28,0.272,825,0,0,0
413,0.255,0.254,0.247,955,0,0,0
445,0.231,0.231,0.224,1.11E+03,0,0,0
477,0.209,0.211,0.204,1.28E+03,0,0,0
509,0.19,0.192,0.185,1.48E+03,0,0,0
573,0.156,0.158,0.153,1.72E+03,0,0,0
637,0.128,0.129,0.126,1.99E+03,0,0,0
701,0.105,0.106,0.104,2.30E+03,0,0,0
765,0.0875,0.0866,0.0862,2.67E+03,0,0,0
829,0.0729,0.0704,0.0714,3.09E+03,0,0,0
893,0.0605,0.0566,0.0592,3.58E+03,0,0,0
957,0.0501,0.0453,0.0494,4.15E+03,0,0,0
1.02E+03,0.0416,0.036,0.0417,4.80E+03,0,0,0
1.15E+03,0.0286,0.0205,0.0281,5.56E+03,0,0,0
1.28E+03,0.0209,0.0106,0.0178,6.44E+03,0,0,0
1.40E+03,0.0157,0.00577,0.0116,7.46E+03,0,0,0
1.53E+03,0.0124,0.00376,0.00769,8.63E+03,0,0,0
1.66E+03,0.0101,0.00257,0.00531,,,,
1.79E+03,0.00924,0.00178,0.00338,,,,
1.92E+03,0.00875,0.002,0.00228,,,,
2.04E+03,0.00743,0.00253,0.00266,,,,
2.30E+03,0.00658,0.00374,0.00372,,,,
2.56E+03,0.00725,0.00389,0.00355,,,,
2.81E+03,0.00501,0.00234,0.00339,,,,
3.07E+03,0.00282,0.00125,0.00256,,,,
3.32E+03,0.00412,0.0019,0.00336,,,,
3.58E+03,0.00544,0.0034,0.00476,,,,
3.84E+03,0.00539,0.000148,0.00575,,,,
4.09E+03,0.00442,0.00155,0.00397,,,,
4.60E+03,0.00227,0.00275,0.00249,,,,
5.12E+03,0.00132,0.00464,0.0012,,,,
5.63E+03,0.000551,0.00381,0.00178,,,,
6.14E+03,0.00466,0.00304,0.00272,,,,
6.65E+03,0.00512,0.00471,0.00292,,,,
7.16E+03,0.00406,0.00403,0.00437,,,,
7.68E+03,0.00461,0.00462,0.00534,,,,
8.19E+03,0.00179,0.00355,0.00125,,,,
9.21E+03,0.00264,0.00138,0.000492,,,,
1.02E+04,0.00713,0.00385,0.00053,,,,
1.13E+04,0.0043,0.00368,0.00131,,,,
1.23E+04,0.00114,0.00117,0.00155,,,,
1.33E+04,0.00211,0.00129,0.000446,,,,
1.43E+04,0.00214,0.00203,0.00404,,,,
1.54E+04,0.00197,0.00435,0.0036,,,,
1.64E+04,0.00126,0.00357,0.0028,,,,
1.84E+04,0.00219,0.00294,0,,,,
2.05E+04,0.00185,0.00345,0.00133,,,,
2.25E+04,0.00059,0.00145,0.00289,,,,
2.46E+04,0.000572,0.00155,0.00348,,,,
2.66E+04,0.00312,0.00203,0.0049,,,,
2.87E+04,0.00229,0.000763,0.00152,,,,
3.07E+04,0.00307,0.00121,0.00141,,,,
3.28E+04,0.00513,0.000997,0.00179,,,,
3.69E+04,0.00172,0.000441,0.00138,,,,
4.10E+04,0.00167,0.00151,0.0017,,,,
4.51E+04,0.00346,0.00138,0.0015,,,,
4.91E+04,0.00484,0.000347,0.00247,,,,
5.32E+04,0.00296,0.0016,0.000536,,,,
5.73E+04,0.00431,0.000772,0.00108,,,,
6.14E+04,0.00491,0,0.00135,,,,
6.55E+04,0.00166,0.000383,0.00271,,,,
7.37E+04,0.000775,0.000354,0.00154,,,,
8.19E+04,0.000656,0.00121,0.00155,,,,
9.01E+04,0.000738,0.000325,0.00211,,,,
9.83E+04,0.000646,0.00178,0.000823,,,,
1.06E+05,0.000314,0.000527,0.00105,,,,
1.15E+05,0.000314,0.000463,0.00201,,,,
1.23E+05,0.00176,0.00139,0.0011,,,,
1.31E+05,0.000156,0.000381,0.000479,,,,
1.47E+05,0.000864,0.00174,0.000761,,,,
1.64E+05,0.00117,0.000793,0.000192,,,,
1.80E+05,0.000217,0.000497,0.00108,,,,
1.97E+05,0.000886,0.00104,0.000445,,,,
2.13E+05,7.71E-05,0.000628,1.32E-05,,,,
2.29E+05,0.00108,0.000878,0,,,,
2.46E+05,0.00105,0.000545,0.000336,,,,
2.62E+05,0.000662,0.000164,0.00133,,,,
2.95E+05,0,0.000842,0.000821,,,,
3.28E+05,0,0.000323,0.000621,,,,
3.60E+05,0,0.000932,0.000834,,,,
3.93E+05,0.00154,0.00107,0.000467,,,,
4.26E+05,2.07E-05,0.000928,0.000741,,,,
4.59E+05,0.000793,0.000681,0.00146,,,,
4.92E+05,0,0.000239,0.000349,,,,
5.24E+05,0.00183,0.000895,0.000108,,,,
5.90E+05,0.00283,0.000933,4.09E-05,,,,
6.55E+05,0.00168,0.000631,0.00031,,,,
7.21E+05,0.00052,0.000422,0.000199,,,,
7.86E+05,0.00179,0.000895,4.62E-06,,,,
8.52E+05,0.00116,0.00082,8.26E-05,,,,
9.18E+05,0.000797,0.00104,0.000715,,,,
9.83E+05,0.000709,0.000921,0.000314,,,,
1.05E+06,0.00156,0,0.00129,,,,
1.18E+06,0.000826,0.000428,0.0021,,,,
1.31E+06,0.00134,0.000403,0.000825,,,,
1.44E+06,0.00222,0.000387,0.0015,,,,
1.57E+06,0.000297,0.000227,0.00207,,,,
1.70E+06,0.000704,0.000816,0.00214,,,,
1.84E+06,0.00249,0,0.00152,,,,
1.97E+06,0.00132,0.000927,0.000828,,,,
2.10E+06,0,0,0,,,,
2.36E+06,0,0,0,,,,
2.62E+06,0,0,0,,,,
2.88E+06,0,0,0,,,,
3.15E+06,0,0,0,,,,
3.41E+06,0,0,0,,,,
3.67E+06,0,0,0,,,,
3.93E+06,0,0,0,,,,
4.19E+06,0,0,0,,,,
4.72E+06,0,0,0,,,,
5.24E+06,0,0,0,,,,
5.77E+06,0,0,0,,,,
6.29E+06,0,0,0,,,,
6.82E+06,0,0,0,,,,
7.34E+06,0,0,0,,,,
7.86E+06,0,0,0,,,,
8.39E+06,0,0,0,,,,
9.44E+06,0,0,0,,,,
1.05E+07,0,0,0,,,,
1.15E+07,0,0,0,,,,
1.26E+07,0,0,0,,,,
1.36E+07,0,0,0,,,,
1.47E+07,0,0,0,,,,
1.57E+07,0,0,0,,,,
1.68E+07,0,0,0,,,,
1.89E+07,0,0,0,,,,
2.10E+07,0,0,0,,,,
2.31E+07,0,0,0,,,,
2.52E+07,0,0,0,,,,
2.73E+07,0,0,0,,,,
2.94E+07,0,0,0,,,,
3.15E+07,0,0,0,,,,
3.36E+07,0,0,0,,,,
3.77E+07,0,0,0,,,,
4.19E+07,0,0,0,,,,
4.61E+07,0,0,0,,,,
5.03E+07,0,0,0,,,,
5.45E+07,0,0,0,,,,
5.87E+07,0,0,0,,,,
