X Lag Time,Record 1: H2O_000rpm_00-00min_NA_No1_230530 1,Record 2: H2O_000rpm_00-00min_NA_No1_230530 2,Record 3: H2O_000rpm_00-00min_NA_No1_230530 3,X Intensity,Record 1: H2O_000rpm_00-00min_NA_No1_230530 1,Record 2: H2O_000rpm_00-00min_NA_No1_230530 2,Record 3: H2O_000rpm_00-00min_NA_No1_230530 3
84.5,0.00207,0.00167,0.00234,68.1,0,0,0
92.5,0.0021,0.00255,0.00264,78.8,0,0,0
101,0.00143,0.00202,0.00168,91.3,0,0,0
109,0.00175,0.00238,0.00252,106,0,0,0
117,0.00129,0.00263,0.00296,122,0,0,0
125,0.00143,0.00161,0.00264,142,0,0,0.0143
141,0.00168,0.002,0.00209,164,0.00673,0,0.0604
157,0.00127,0.00246,0.0021,190,0.0302,0,0.146
173,0.00135,0.00179,0.00211,220,0.0755,0,0.273
189,0.00124,0.00223,0.00224,255,0.144,0,0.436
205,0.00104,0.00172,0.00168,295,0.234,0,0.627
221,0.000769,0.00119,0.00163,342,0.343,0,0.837
237,0.00111,0.00184,0.00206,396,0.466,0,1.05
253,0.00106,0.00203,0.00217,459,0.599,0,1.27
285,0.000972,0.0018,0.00235,531,0.736,0,1.47
317,0.000922,0.00168,0.00195,615,0.872,0.00429,1.64
349,0.000856,0.00161,0.00242,712,1,0.0479,1.79
381,0.000992,0.00169,0.00192,825,1.12,0.15,1.9
413,0.00106,0.00148,0.00191,955,1.23,0.315,1.98
445,0.00136,0.00177,0.00138,1.11E+03,1.32,0.539,2.01
477,0.00113,0.00136,0.00183,1.28E+03,1.39,0.811,2.01
509,0.000999,0.0014,0.00171,1.48E+03,1.44,1.11,1.97
573,0.000997,0.00168,0.00131,1.72E+03,1.46,1.42,1.9
637,0.000696,0.00107,0.00149,1.99E+03,1.46,1.72,1.8
701,0.000653,0.00127,0.00203,2.30E+03,1.43,1.98,1.67
765,0.000928,0.00121,0.00166,2.67E+03,1.38,2.19,1.53
829,0.000897,0.00112,0.00164,3.09E+03,1.3,2.32,1.37
893,0.000645,0.000852,0.0013,3.58E+03,1.2,2.37,1.2
957,0.000687,0.00107,0.00119,4.15E+03,1.08,2.32,1.02
1.02E+03,0.00072,0.00108,0.00132,4.80E+03,0.934,2.16,0.842
1.15E+03,0.000654,0.000898,0.0013,5.56E+03,0.772,1.9,0.666
1.28E+03,0.000539,0.00111,0.00117,6.44E+03,0,0,0
1.40E+03,0.000692,0.000805,0.00095,7.46E+03,0,0,0
1.53E+03,0.000659,0.000565,0.00114,8.63E+03,0,0,0
1.66E+03,0.000502,0.000781,0.000925,,,,
1.79E+03,0.000523,0.000651,0.000726,,,,
1.92E+03,0.000471,0.000676,0.00102,,,,
2.04E+03,0.000646,0.00058,0.000739,,,,
2.30E+03,0.000656,0.000622,0.000937,,,,
2.56E+03,0.000541,0.000745,0.000797,,,,
2.81E+03,0.000616,0.000834,0.000656,,,,
3.07E+03,0.00074,0.000961,0.00085,,,,
3.32E+03,0.000698,0.00106,0.000707,,,,
3.58E+03,0.000742,0.00107,0.000715,,,,
3.84E+03,0.000893,0.00114,0.0006,,,,
4.09E+03,0.000685,0.000943,0.000568,,,,
4.60E+03,0.000584,0.00053,0.000331,,,,
5.12E+03,0.000489,0.000358,0.000232,,,,
5.63E+03,0.000487,0.000202,0.000232,,,,
6.14E+03,0.000464,0.000347,0.000297,,,,
6.65E+03,0.000596,0.000572,0.00055,,,,
7.16E+03,0.000651,0.000907,0.000653,,,,
7.68E+03,0.000585,0.000971,0.000721,,,,
8.19E+03,0.00061,0.000665,0.000502,,,,
9.21E+03,0.000445,0.000464,0.000426,,,,
1.02E+04,0.000571,0.000823,0.000567,,,,
1.13E+04,0.000657,0.00103,0.000729,,,,
1.23E+04,0.000587,0.000563,0.000487,,,,
1.33E+04,0.000546,0.00054,0.000457,,,,
1.43E+04,0.000646,0.000885,0.000714,,,,
1.54E+04,0.000674,0.000816,0.000686,,,,
1.64E+04,0.000552,0.000576,0.000591,,,,
1.84E+04,0.000632,0.000751,0.000675,,,,
2.05E+04,0.000432,0.000487,0.000365,,,,
2.25E+04,0.000435,0.000538,0.000264,,,,
2.46E+04,0.000443,0.000548,0.000239,,,,
2.66E+04,0.00052,0.000557,0.000365,,,,
2.87E+04,0.000531,0.000696,0.000446,,,,
3.07E+04,0.000475,0.000653,0.000388,,,,
3.28E+04,0.000517,0.00061,0.000462,,,,
3.69E+04,0.000483,0.000515,0.000376,,,,
4.10E+04,0.00051,0.000576,0.000454,,,,
4.51E+04,0.00054,0.000681,0.000585,,,,
4.91E+04,0.000502,0.000651,0.000513,,,,
5.32E+04,0.000494,0.000677,0.000523,,,,
5.73E+04,0.000552,0.000734,0.000608,,,,
6.14E+04,0.000514,0.000743,0.000524,,,,
6.55E+04,0.000514,0.000734,0.000552,,,,
7.37E+04,0.00057,0.000648,0.000623,,,,
8.19E+04,0.000479,0.000595,0.000548,,,,
9.01E+04,0.00055,0.000637,0.000498,,,,
9.83E+04,0.000476,0.000626,0.000491,,,,
1.06E+05,0.000501,0.00054,0.000462,,,,
1.15E+05,0.000555,0.000654,0.000559,,,,
1.23E+05,0.000475,0.000644,0.000425,,,,
1.31E+05,0.000552,0.000684,0.000617,,,,
1.47E+05,0.000557,0.000628,0.000611,,,,
1.64E+05,0.000533,0.000554,0.000421,,,,
1.80E+05,0.000557,0.000697,0.000548,,,,
1.97E+05,0.000566,0.00068,0.000557,,,,
2.13E+05,0.000601,0.000621,0.000591,,,,
2.29E+05,0.00054,0.000599,0.000531,,,,
2.46E+05,0.000563,0.000669,0.000455,,,,
2.62E+05,0.000733,0.000524,0.000515,,,,
2.95E+05,0.000629,0.000512,0.000661,,,,
3.28E+05,0.000586,0.000539,0.000403,,,,
3.60E+05,0.000533,0.000482,0.00042,,,,
3.93E+05,0.000606,0.000503,0.000568,,,,
4.26E+05,0.000652,0.000505,0.000481,,,,
4.59E+05,0.000664,0.000526,0.00042,,,,
4.92E+05,0.000505,0.000636,0.000483,,,,
5.24E+05,0.000814,0.000541,0.00036,,,,
5.90E+05,0.000687,0.000515,0.000417,,,,
6.55E+05,0.000594,0.000417,0.000456,,,,
7.21E+05,0.000786,0.000319,0.000398,,,,
7.86E+05,0.000747,0.000382,0.000407,,,,
8.52E+05,0.000762,0.00043,0.00051,,,,
9.18E+05,0.000722,0.000334,0.000444,,,,
9.83E+05,0.000627,0.000333,0.000277,,,,
1.05E+06,0.000699,0.000577,0.000412,,,,
1.18E+06,0.000706,0.000299,0.000248,,,,
1.31E+06,0.000747,0.000331,0.000229,,,,
1.44E+06,0.000692,0.000336,0.000129,,,,
1.57E+06,0.000489,0.000224,8.61E-05,,,,
1.70E+06,0.000431,0.00021,0.000172,,,,
1.84E+06,0.000363,0.000249,0.000201,,,,
1.97E+06,0.000381,0.000207,6.82E-05,,,,
2.10E+06,0,0,0,,,,
2.36E+06,0,0,0,,,,
2.62E+06,0,0,0,,,,
2.88E+06,0,0,0,,,,
3.15E+06,0,0,0,,,,
3.41E+06,0,0,0,,,,
3.67E+06,0,0,0,,,,
3.93E+06,0,0,0,,,,
4.19E+06,0,0,0,,,,
4.72E+06,0,0,0,,,,
5.24E+06,0,0,0,,,,
5.77E+06,0,0,0,,,,
6.29E+06,0,0,0,,,,
6.82E+06,0,0,0,,,,
7.34E+06,0,0,0,,,,
7.86E+06,0,0,0,,,,
8.39E+06,0,0,0,,,,
9.44E+06,0,0,0,,,,
1.05E+07,0,0,0,,,,
1.15E+07,0,0,0,,,,
1.26E+07,0,0,0,,,,
1.36E+07,0,0,0,,,,
1.47E+07,0,0,0,,,,
1.57E+07,0,0,0,,,,
1.68E+07,0,0,0,,,,
1.89E+07,0,0,0,,,,
2.10E+07,0,0,0,,,,
2.31E+07,0,0,0,,,,
2.52E+07,0,0,0,,,,
2.73E+07,0,0,0,,,,
2.94E+07,0,0,0,,,,
3.15E+07,0,0,0,,,,
3.36E+07,0,0,0,,,,
3.77E+07,0,0,0,,,,
4.19E+07,0,0,0,,,,
4.61E+07,0,0,0,,,,
5.03E+07,0,0,0,,,,
5.45E+07,0,0,0,,,,
5.87E+07,0,0,0,,,,
