X Lag Time,Record 1: BVs_3e10_300rpm_20-00min_ST_No1_230906 1,Record 2: BVs_3e10_300rpm_20-00min_ST_No1_230906 2,Record 3: BVs_3e10_300rpm_20-00min_ST_No1_230906 3,X Intensity,Record 1: BVs_3e10_300rpm_20-00min_ST_No1_230906 1,Record 2: BVs_3e10_300rpm_20-00min_ST_No1_230906 2,Record 3: BVs_3e10_300rpm_20-00min_ST_No1_230906 3
76.5,0.696,0.697,0.704,58.8,0.24,0.777,0
84.5,0.678,0.681,0.686,68.1,1.18,1.56,0.888
92.5,0.661,0.664,0.67,78.8,2.85,2.61,2.72
101,0.645,0.648,0.653,91.3,4.93,3.84,5.04
109,0.629,0.633,0.638,106,7.03,5.16,7.24
117,0.614,0.618,0.622,122,8.72,6.43,8.84
125,0.598,0.604,0.607,142,9.75,7.58,9.6
141,0.57,0.577,0.579,164,10,8.49,9.55
157,0.544,0.551,0.553,190,9.56,9.09,8.87
173,0.518,0.526,0.528,220,8.59,9.31,7.85
189,0.495,0.503,0.504,255,7.32,9.1,6.74
205,0.473,0.482,0.482,295,5.99,8.43,5.73
221,0.452,0.461,0.461,342,4.76,7.33,4.94
237,0.433,0.442,0.441,396,3.74,5.89,4.33
253,0.414,0.423,0.423,459,2.95,4.26,3.84
285,0.38,0.389,0.389,531,2.35,2.65,3.36
317,0.349,0.359,0.358,615,1.87,1.3,2.81
349,0.322,0.332,0.331,712,1.45,0.39,2.15
381,0.297,0.308,0.306,825,1.04,0,1.43
413,0.275,0.285,0.283,955,0.658,0,0.747
445,0.255,0.265,0.263,1.11E+03,0.324,0,0.239
477,0.237,0.247,0.245,1.28E+03,0.0945,0,0
509,0.222,0.231,0.229,1.48E+03,0,0,0
573,0.194,0.203,0.201,1.72E+03,0,0,0
637,0.172,0.179,0.177,1.99E+03,0,0,0
701,0.153,0.158,0.157,2.30E+03,0,0,0
765,0.138,0.141,0.141,2.67E+03,0,0,0
829,0.124,0.126,0.128,3.09E+03,0,0,0
893,0.112,0.114,0.116,3.58E+03,0.0926,0.195,0
957,0.103,0.103,0.106,4.15E+03,0.575,0.805,0.165
1.02E+03,0.0953,0.0948,0.0971,4.80E+03,1.45,1.74,0.882
1.15E+03,0.0818,0.081,0.0833,5.56E+03,2.48,2.72,2.04
1.28E+03,0.0713,0.0703,0.0721,6.44E+03,0,0,0
1.40E+03,0.063,0.0611,0.0633,7.46E+03,0,0,0
1.53E+03,0.0571,0.0542,0.0561,8.63E+03,0,0,0
1.66E+03,0.0526,0.0487,0.0502,,,,
1.79E+03,0.0485,0.044,0.0446,,,,
1.92E+03,0.0464,0.0401,0.0399,,,,
2.04E+03,0.0443,0.0363,0.0368,,,,
2.30E+03,0.0388,0.0301,0.0324,,,,
2.56E+03,0.0334,0.0256,0.03,,,,
2.81E+03,0.0295,0.0243,0.0272,,,,
3.07E+03,0.0271,0.0229,0.0259,,,,
3.32E+03,0.0259,0.0199,0.0248,,,,
3.58E+03,0.0267,0.0177,0.024,,,,
3.84E+03,0.026,0.0165,0.0227,,,,
4.09E+03,0.0248,0.0177,0.0193,,,,
4.60E+03,0.0224,0.0189,0.0158,,,,
5.12E+03,0.0206,0.0192,0.0138,,,,
5.63E+03,0.0215,0.0187,0.0121,,,,
6.14E+03,0.0201,0.0182,0.0136,,,,
6.65E+03,0.0173,0.0156,0.0136,,,,
7.16E+03,0.0186,0.0131,0.0117,,,,
7.68E+03,0.0202,0.0113,0.0123,,,,
8.19E+03,0.0195,0.0133,0.0117,,,,
9.21E+03,0.016,0.0165,0.0132,,,,
1.02E+04,0.0178,0.0111,0.0114,,,,
1.13E+04,0.0187,0.0107,0.00832,,,,
1.23E+04,0.0158,0.0119,0.00933,,,,
1.33E+04,0.0146,0.00992,0.0105,,,,
1.43E+04,0.0153,0.0106,0.012,,,,
1.54E+04,0.0155,0.00894,0.0137,,,,
1.64E+04,0.015,0.00842,0.013,,,,
1.84E+04,0.0133,0.0108,0.0104,,,,
2.05E+04,0.0151,0.0112,0.0109,,,,
2.25E+04,0.0177,0.00829,0.0131,,,,
2.46E+04,0.0172,0.0097,0.0101,,,,
2.66E+04,0.0162,0.00777,0.00963,,,,
2.87E+04,0.0147,0.00966,0.0115,,,,
3.07E+04,0.0149,0.00726,0.00933,,,,
3.28E+04,0.0165,0.00845,0.00709,,,,
3.69E+04,0.0165,0.00793,0.00999,,,,
4.10E+04,0.0153,0.00717,0.00856,,,,
4.51E+04,0.0147,0.00552,0.0108,,,,
4.91E+04,0.0141,0.00731,0.00935,,,,
5.32E+04,0.0147,0.00771,0.00906,,,,
5.73E+04,0.0144,0.00669,0.00888,,,,
6.14E+04,0.0146,0.00735,0.0089,,,,
6.55E+04,0.0143,0.00844,0.00816,,,,
7.37E+04,0.0141,0.00744,0.00846,,,,
8.19E+04,0.0148,0.00739,0.00685,,,,
9.01E+04,0.0106,0.00718,0.00404,,,,
9.83E+04,0.0116,0.0068,0.00682,,,,
1.06E+05,0.0139,0.00595,0.00627,,,,
1.15E+05,0.0139,0.00416,0.0076,,,,
1.23E+05,0.0126,0.00572,0.00681,,,,
1.31E+05,0.0106,0.00538,0.00639,,,,
1.47E+05,0.00952,0.00614,0.00579,,,,
1.64E+05,0.0107,0.0059,0.00463,,,,
1.80E+05,0.0105,0.00744,0.00432,,,,
1.97E+05,0.0074,0.00562,0.00311,,,,
2.13E+05,0.00942,0.00567,0.00463,,,,
2.29E+05,0.00713,0.00537,0.00589,,,,
2.46E+05,0.0068,0.00414,0.00338,,,,
2.62E+05,0.00573,0.00403,0.00315,,,,
2.95E+05,0.0041,0.00452,0.00287,,,,
3.28E+05,0.00372,0.00243,0.00339,,,,
3.60E+05,0.00373,0.00244,0.00356,,,,
3.93E+05,0.00436,0.00217,0.00305,,,,
4.26E+05,0.00375,0.00191,0.00361,,,,
4.59E+05,0.0041,0.00117,0.0036,,,,
4.92E+05,0.00495,0.00242,0.00247,,,,
5.24E+05,0.00353,0.000766,0.00336,,,,
5.90E+05,0.00357,0.00107,0.00363,,,,
6.55E+05,0.00403,0.000726,0.00293,,,,
7.21E+05,0.0041,0.000734,0.00248,,,,
7.86E+05,0.00318,0.00155,0.00242,,,,
8.52E+05,0.00241,0.00076,0.00126,,,,
9.18E+05,0.00243,0.000387,0.00147,,,,
9.83E+05,0.00184,0.00116,0.00216,,,,
1.05E+06,0.000929,9.56E-05,0.00268,,,,
1.18E+06,0.000726,0.000494,0.00173,,,,
1.31E+06,0.00228,0.000623,0.00185,,,,
1.44E+06,0.0018,0.00186,0.00345,,,,
1.57E+06,0.0014,0.0024,0.00291,,,,
1.70E+06,0.00107,0.00214,0.00285,,,,
1.84E+06,0.0015,0.00252,0.00164,,,,
1.97E+06,0.000968,0.00268,0.00195,,,,
2.10E+06,0.00175,0.000783,0.00347,,,,
2.36E+06,0.00187,0.00106,0.00287,,,,
2.62E+06,0.0029,0.00235,0.00235,,,,
2.88E+06,0.00176,0.00188,0.00379,,,,
3.15E+06,0.00162,0.00356,0.00142,,,,
3.41E+06,0.00102,0.00271,0.000977,,,,
3.67E+06,0.00145,0.000403,0.00121,,,,
3.93E+06,0.00107,0.00294,0.000734,,,,
4.19E+06,0,0,0,,,,
4.72E+06,0,0,0,,,,
5.24E+06,0,0,0,,,,
5.77E+06,0,0,0,,,,
6.29E+06,0,0,0,,,,
6.82E+06,0,0,0,,,,
7.34E+06,0,0,0,,,,
7.86E+06,0,0,0,,,,
8.39E+06,0,0,0,,,,
9.44E+06,0,0,0,,,,
1.05E+07,0,0,0,,,,
1.15E+07,0,0,0,,,,
1.26E+07,0,0,0,,,,
1.36E+07,0,0,0,,,,
1.47E+07,0,0,0,,,,
1.57E+07,0,0,0,,,,
1.68E+07,0,0,0,,,,
1.89E+07,0,0,0,,,,
2.10E+07,0,0,0,,,,
2.31E+07,0,0,0,,,,
2.52E+07,0,0,0,,,,
2.73E+07,0,0,0,,,,
2.94E+07,0,0,0,,,,
3.15E+07,0,0,0,,,,
3.36E+07,0,0,0,,,,
3.77E+07,0,0,0,,,,
4.19E+07,0,0,0,,,,
4.61E+07,0,0,0,,,,
5.03E+07,0,0,0,,,,
5.45E+07,0,0,0,,,,
5.87E+07,0,0,0,,,,
