X Lag Time,Record 1: EVs_3e10_300rpm_20-00min_ST_No1_230829 1,Record 2: EVs_3e10_300rpm_20-00min_ST_No1_230829 2,Record 3: EVs_3e10_300rpm_20-00min_ST_No1_230829 3,X Intensity,Record 1: EVs_3e10_300rpm_20-00min_ST_No1_230829 1,Record 2: EVs_3e10_300rpm_20-00min_ST_No1_230829 2,Record 3: EVs_3e10_300rpm_20-00min_ST_No1_230829 3
7.16E+03,0.000894,0.00653,0.0124,,,,
7.68E+03,0.000619,0.00303,0.0131,,,,
8.19E+03,0.000859,0.00271,0.0129,,,,
9.21E+03,0.0027,0.00269,0.0124,,,,
1.02E+04,0.00248,0.0015,0.0133,,,,
1.13E+04,0.00124,0.00171,0.0121,,,,
1.23E+04,0.0011,0.005,0.011,,,,
1.33E+04,0.00413,0.00295,0.00915,,,,
1.43E+04,0.00196,0.00344,0.0105,,,,
1.54E+04,0.00357,0.00439,0.0145,,,,
1.64E+04,0.00243,0.0044,0.0109,,,,
1.84E+04,0.00118,0.00231,0.0105,,,,
2.05E+04,0.00294,0.00404,0.0102,,,,
2.25E+04,0.00199,0.00233,0.00916,,,,
2.46E+04,0.00145,0.00529,0.00986,,,,
2.66E+04,0.00355,0.00282,0.00778,,,,
2.87E+04,0.00229,0.0035,0.00853,,,,
3.07E+04,0.00285,0.00267,0.00936,,,,
3.28E+04,0.00192,0.00231,0.0107,,,,
3.69E+04,0.00243,0.00363,0.00903,,,,
4.10E+04,0.0023,0.00359,0.00959,,,,
4.51E+04,0.00126,0.00401,0.00621,,,,
4.91E+04,0.00271,0.00353,0.00845,,,,
5.32E+04,0.00215,0.00205,0.00748,,,,
5.73E+04,0.00159,0.00232,0.00665,,,,
6.14E+04,0.00225,0.00394,0.00727,,,,
6.55E+04,0.00386,0.00285,0.00682,,,,
7.37E+04,0.00192,0.00222,0.00732,,,,
8.19E+04,0.00241,0.00421,0.00593,,,,
9.01E+04,0.00277,0.00364,0.00661,,,,
9.83E+04,0.00245,0.00285,0.00717,,,,
1.06E+05,0.00273,0.00241,0.00608,,,,
1.15E+05,0.00235,0.00181,0.00601,,,,
1.23E+05,0.00153,0.00306,0.00516,,,,
1.31E+05,0.00183,0.00185,0.00516,,,,
1.47E+05,0.000767,0.00204,0.00434,,,,
1.64E+05,0.00281,0.00349,0.00489,,,,
1.80E+05,0.00125,0.00255,0.00376,,,,
1.97E+05,0.00291,0.0012,0.00437,,,,
2.13E+05,0.00198,0.0015,0.00233,,,,
2.29E+05,0.00204,0.00215,0.00147,,,,
2.46E+05,0.00234,0.00391,0.00283,,,,
2.62E+05,0.00179,0.0022,0.002,,,,
2.95E+05,0.00247,0.0021,0.0018,,,,
3.28E+05,0.00196,0.00135,0.00199,,,,
3.60E+05,0.00142,0.00107,0.00148,,,,
3.93E+05,0.00288,0.00136,0.00333,,,,
4.26E+05,0.00291,0.00112,0.00287,,,,
4.59E+05,0.00139,0.000246,0.00144,,,,
4.92E+05,0.00165,0.000894,0.00117,,,,
5.24E+05,0.00266,0.00134,0.00242,,,,
5.90E+05,0.00273,0.000632,0.00224,,,,
6.55E+05,0.00246,0.000381,0.00114,,,,
7.21E+05,0.0027,0.000593,0.00198,,,,
7.86E+05,0.00247,0.000332,0.00051,,,,
8.52E+05,0.0028,0.000415,0.00148,,,,
9.18E+05,0.00239,4.98E-05,0.000432,,,,
9.83E+05,0.00282,0.000158,0.000893,,,,
1.05E+06,0.0019,0.000501,0.000516,,,,
1.18E+06,0.00262,0.000276,0.000625,,,,
1.31E+06,0.00225,0.000692,8.20E-05,,,,
1.44E+06,0.00252,0.000356,0.00104,,,,
1.57E+06,0.0025,0.000214,0.00107,,,,
1.70E+06,0.00257,0.000187,0.000675,,,,
1.84E+06,0.00322,0.000405,0.000679,,,,
1.97E+06,0.00285,0.000349,0.000831,,,,
2.10E+06,0.0036,0.00279,0.00115,,,,
2.36E+06,0.00429,0.00422,0.00139,,,,
2.62E+06,0.00503,0.00311,0.00268,,,,
2.88E+06,0.00581,0.00232,0.00232,,,,
3.15E+06,0.00442,0.00349,0.00272,,,,
3.41E+06,0.00513,0.00278,0.00429,,,,
3.67E+06,0.00439,0.00238,0.0044,,,,
3.93E+06,0.00366,0.00457,0.00332,,,,
4.19E+06,0,0,0,,,,
4.72E+06,0,0,0,,,,
5.24E+06,0,0,0,,,,
5.77E+06,0,0,0,,,,
6.29E+06,0,0,0,,,,
6.82E+06,0,0,0,,,,
7.34E+06,0,0,0,,,,
7.86E+06,0,0,0,,,,
8.39E+06,0,0,0,,,,
9.44E+06,0,0,0,,,,
1.05E+07,0,0,0,,,,
1.15E+07,0,0,0,,,,
1.26E+07,0,0,0,,,,
1.36E+07,0,0,0,,,,
1.47E+07,0,0,0,,,,
1.57E+07,0,0,0,,,,
1.68E+07,0,0,0,,,,
1.89E+07,0,0,0,,,,
2.10E+07,0,0,0,,,,
2.31E+07,0,0,0,,,,
2.52E+07,0,0,0,,,,
2.73E+07,0,0,0,,,,
2.94E+07,0,0,0,,,,
3.15E+07,0,0,0,,,,
3.36E+07,0,0,0,,,,
3.77E+07,0,0,0,,,,
4.19E+07,0,0,0,,,,
4.61E+07,0,0,0,,,,
5.03E+07,0,0,0,,,,
5.45E+07,0,0,0,,,,
5.87E+07,0,0,0,,,,
