X Lag Time,Record 1: BVs_3e10_000rpm_00-00min_NA_No1_230906 1,Record 2: BVs_3e10_000rpm_00-00min_NA_No1_230906 2,Record 3: BVs_3e10_000rpm_00-00min_NA_No1_230906 3,X Intensity,Record 1: BVs_3e10_000rpm_00-00min_NA_No1_230906 1,Record 2: BVs_3e10_000rpm_00-00min_NA_No1_230906 2,Record 3: BVs_3e10_000rpm_00-00min_NA_No1_230906 3
637,0.115,0.106,0.1,1.99E+03,0.0059,0,0
701,0.0976,0.0883,0.0826,2.30E+03,0.088,0,0
765,0.0836,0.0733,0.0684,2.67E+03,0.266,0,0
829,0.0716,0.0611,0.0571,3.09E+03,0.524,0,0
893,0.0619,0.0514,0.0481,3.58E+03,0.819,0.107,0.0761
957,0.0537,0.0437,0.0408,4.15E+03,1.1,0.336,0.275
1.02E+03,0.0475,0.0374,0.0358,4.80E+03,1.3,0.631,0.555
1.15E+03,0.0365,0.0273,0.0276,5.56E+03,1.38,0.899,0.825
1.28E+03,0.0273,0.0207,0.0213,6.44E+03,0,0,0
1.40E+03,0.0208,0.017,0.0181,7.46E+03,0,0,0
1.53E+03,0.0162,0.0152,0.0154,8.63E+03,0,0,0
1.66E+03,0.0135,0.0132,0.0125,,,,
1.79E+03,0.013,0.00962,0.0105,,,,
1.92E+03,0.0123,0.00658,0.0097,,,,
2.04E+03,0.0122,0.00573,0.00782,,,,
2.30E+03,0.0106,0.00519,0.00529,,,,
2.56E+03,0.00954,0.00391,0.004,,,,
2.81E+03,0.0083,0.00387,0.00481,,,,
3.07E+03,0.00547,0.00316,0.00473,,,,
3.32E+03,0.00321,0.00507,0.00463,,,,
3.58E+03,0.00255,0.00469,0.00342,,,,
3.84E+03,0.00257,0.00504,0.000976,,,,
4.09E+03,0.00398,0.00489,0.000769,,,,
4.60E+03,0.00368,0.00456,0.00242,,,,
5.12E+03,0.0037,0.00295,0.00414,,,,
5.63E+03,0.00389,0.00368,0.00344,,,,
6.14E+03,0.00482,0.00341,0.00277,,,,
6.65E+03,0.00405,0.00302,0.00122,,,,
7.16E+03,0.0031,0.00231,6.33E-05,,,,
7.68E+03,0.00437,0.00139,0.0015,,,,
8.19E+03,0.00376,0.00122,0.000925,,,,
9.21E+03,0.00307,0.00238,0.000598,,,,
1.02E+04,0.00423,0.003,0.00139,,,,
1.13E+04,0.00432,0.00261,0.00165,,,,
1.23E+04,0.00231,0.0048,0.000365,,,,
1.33E+04,0.00101,0.00283,0.000639,,,,
1.43E+04,0.00198,0.00231,0.0022,,,,
1.54E+04,0.00381,0.00139,0.00202,,,,
1.64E+04,0.00384,0.000677,0.000716,,,,
1.84E+04,0.00205,0.00178,0.000242,,,,
2.05E+04,0.00259,0.00308,0.00204,,,,
2.25E+04,0.00174,0.000434,0.00218,,,,
2.46E+04,0.00143,0.00162,0.00252,,,,
2.66E+04,0.00199,0.0014,0.00245,,,,
2.87E+04,0.00118,0.000801,0.000114,,,,
3.07E+04,0.000915,0.000654,0.000865,,,,
3.28E+04,0.00177,0.000946,0.00217,,,,
3.69E+04,0.00264,0.000151,0.000562,,,,
4.10E+04,0.00327,0.00034,0.001,,,,
4.51E+04,0.00176,0.00112,0.00092,,,,
4.91E+04,0.000366,0.000471,0.00168,,,,
5.32E+04,0.000303,0.000929,0.00193,,,,
5.73E+04,0.00154,0.00152,0.00222,,,,
6.14E+04,0.00229,0.000747,0.000972,,,,
6.55E+04,0.00208,0.000253,0.00071,,,,
7.37E+04,0.00165,7.37E-05,0.000932,,,,
8.19E+04,0.00327,0.00122,0.00193,,,,
9.01E+04,0.0019,0.000802,0.00159,,,,
9.83E+04,0.00044,0.000478,0.00145,,,,
1.06E+05,0.00222,0.0012,0.000683,,,,
1.15E+05,0.00125,0.00074,0.000767,,,,
1.23E+05,0.00195,0.000698,0.0014,,,,
1.31E+05,0.00114,0.000271,0.00159,,,,
1.47E+05,0.00158,5.67E-05,6.69E-05,,,,
1.64E+05,0.00146,0.000947,0.00103,,,,
1.80E+05,0.000996,0.000881,0.000113,,,,
1.97E+05,0.00361,0.000213,0.000442,,,,
2.13E+05,0.00146,0.00111,0.000529,,,,
2.29E+05,0.00137,8.21E-05,0.00108,,,,
2.46E+05,0.00146,0.000842,0.000832,,,,
2.62E+05,0.00315,0.00094,0.000662,,,,
2.95E+05,0.00191,0.00042,0.000335,,,,
3.28E+05,0.000963,0.00133,0.00115,,,,
3.60E+05,0.00241,0.000153,0.000766,,,,
3.93E+05,0.00217,0.00137,0.000688,,,,
4.26E+05,0.00151,0.000812,0.000616,,,,
4.59E+05,0.003,0.000336,0.00151,,,,
4.92E+05,0.00134,0.000429,0.000317,,,,
5.24E+05,0.0015,0.00048,0.00101,,,,
5.90E+05,0.00197,0.000237,0.000269,,,,
6.55E+05,0.00115,0.000645,0.000315,,,,
7.21E+05,0.00164,0.000504,9.26E-05,,,,
7.86E+05,0.0023,0.000634,0.000432,,,,
8.52E+05,0.00129,0.000189,0.000363,,,,
9.18E+05,0.00172,0.000139,0.00115,,,,
9.83E+05,0.00129,0.000136,0.000449,,,,
1.05E+06,0.000825,0.0011,5.42E-05,,,,
1.18E+06,0.000218,0.000753,0,,,,
1.31E+06,0.00112,0.00107,0.000404,,,,
1.44E+06,0,0.000936,0.000225,,,,
1.57E+06,0.000614,0.00092,0.00028,,,,
1.70E+06,0.000682,0.00132,0.000243,,,,
1.84E+06,0.000272,0.000893,0.000324,,,,
1.97E+06,0.000595,0.00101,0.000546,,,,
2.10E+06,0.000122,0.000402,0,,,,
2.36E+06,0.0011,0.000502,1.97E-05,,,,
2.62E+06,0.000437,0.000227,0.000713,,,,
2.88E+06,0.000148,0.000488,0.000181,,,,
3.15E+06,0.000469,0.0011,0.000286,,,,
3.41E+06,0.000906,0.00061,0.000568,,,,
3.67E+06,0.000841,0.000332,0.000632,,,,
3.93E+06,0.00055,0.000138,0.000352,,,,
4.19E+06,0,0,0,,,,
4.72E+06,0,0,0,,,,
5.24E+06,0,0,0,,,,
5.77E+06,0,0,0,,,,
6.29E+06,0,0,0,,,,
6.82E+06,0,0,0,,,,
7.34E+06,0,0,0,,,,
7.86E+06,0,0,0,,,,
8.39E+06,0,0,0,,,,
9.44E+06,0,0,0,,,,
1.05E+07,0,0,0,,,,
1.15E+07,0,0,0,,,,
1.26E+07,0,0,0,,,,
1.36E+07,0,0,0,,,,
1.47E+07,0,0,0,,,,
1.57E+07,0,0,0,,,,
1.68E+07,0,0,0,,,,
1.89E+07,0,0,0,,,,
2.10E+07,0,0,0,,,,
2.31E+07,0,0,0,,,,
2.52E+07,0,0,0,,,,
2.73E+07,0,0,0,,,,
2.94E+07,0,0,0,,,,
3.15E+07,0,0,0,,,,
3.36E+07,0,0,0,,,,
3.77E+07,0,0,0,,,,
4.19E+07,0,0,0,,,,
4.61E+07,0,0,0,,,,
5.03E+07,0,0,0,,,,
5.45E+07,0,0,0,,,,
5.87E+07,0,0,0,,,,
